Fe metal
7.500000e+02 1.323380e+05
7.499500e+02 1.328590e+05
7.499000e+02 1.333800e+05
7.498500e+02 1.338915e+05
7.498000e+02 1.344030e+05
7.497500e+02 1.342730e+05
7.497000e+02 1.341430e+05
7.496500e+02 1.330270e+05
7.496000e+02 1.319110e+05
7.495500e+02 1.322245e+05
7.495000e+02 1.325380e+05
7.494500e+02 1.327105e+05
7.494000e+02 1.328830e+05
7.493500e+02 1.329705e+05
7.493000e+02 1.330580e+05
7.492500e+02 1.340890e+05
7.492000e+02 1.351200e+05
7.491500e+02 1.355430e+05
7.491000e+02 1.359660e+05
7.490500e+02 1.352040e+05
7.490000e+02 1.344420e+05
7.489500e+02 1.349615e+05
7.489000e+02 1.354810e+05
7.488500e+02 1.353225e+05
7.488000e+02 1.351640e+05
7.487500e+02 1.356665e+05
7.487000e+02 1.361690e+05
7.486500e+02 1.367845e+05
7.486000e+02 1.374000e+05
7.485500e+02 1.371065e+05
7.485000e+02 1.368130e+05
7.484500e+02 1.364050e+05
7.484000e+02 1.359970e+05
7.483500e+02 1.363705e+05
7.483000e+02 1.367440e+05
7.482500e+02 1.365610e+05
7.482000e+02 1.363780e+05
7.481500e+02 1.362430e+05
7.481000e+02 1.361080e+05
7.480500e+02 1.356305e+05
7.480000e+02 1.351530e+05
7.479500e+02 1.366710e+05
7.479000e+02 1.381890e+05
7.478500e+02 1.387300e+05
7.478000e+02 1.392710e+05
7.477500e+02 1.388490e+05
7.477000e+02 1.384270e+05
7.476500e+02 1.387010e+05
7.476000e+02 1.389750e+05
7.475500e+02 1.385705e+05
7.475000e+02 1.381660e+05
7.474500e+02 1.382565e+05
7.474000e+02 1.383470e+05
7.473500e+02 1.386400e+05
7.473000e+02 1.389330e+05
7.472500e+02 1.392305e+05
7.472000e+02 1.395280e+05
7.471500e+02 1.390610e+05
7.471000e+02 1.385940e+05
7.470500e+02 1.390010e+05
7.470000e+02 1.394080e+05
7.469500e+02 1.392820e+05
7.469000e+02 1.391560e+05
7.468500e+02 1.390775e+05
7.468000e+02 1.389990e+05
7.467500e+02 1.388220e+05
7.467000e+02 1.386450e+05
7.466500e+02 1.393960e+05
7.466000e+02 1.401470e+05
7.465500e+02 1.405530e+05
7.465000e+02 1.409590e+05
7.464500e+02 1.406630e+05
7.464000e+02 1.403670e+05
7.463500e+02 1.401030e+05
7.463000e+02 1.398390e+05
7.462500e+02 1.400525e+05
7.462000e+02 1.402660e+05
7.461500e+02 1.405415e+05
7.461000e+02 1.408170e+05
7.460500e+02 1.402315e+05
7.460000e+02 1.396460e+05
7.459500e+02 1.400455e+05
7.459000e+02 1.404450e+05
7.458500e+02 1.401210e+05
7.458000e+02 1.397970e+05
7.457500e+02 1.399095e+05
7.457000e+02 1.400220e+05
7.456500e+02 1.412660e+05
7.456000e+02 1.425100e+05
7.455500e+02 1.419430e+05
7.455000e+02 1.413760e+05
