Co2pFe2p CoO
8.400000e+02 1.931163e+04
8.399500e+02 1.931163e+04
8.399000e+02 1.923277e+04
8.398500e+02 1.923277e+04
8.398000e+02 1.926237e+04
8.397500e+02 1.926237e+04
8.397000e+02 1.931210e+04
8.396500e+02 1.931210e+04
8.396000e+02 1.941380e+04
8.395500e+02 1.941380e+04
8.395000e+02 1.933590e+04
8.394500e+02 1.933590e+04
8.394000e+02 1.925233e+04
8.393500e+02 1.925233e+04
8.393000e+02 1.926500e+04
8.392500e+02 1.926500e+04
8.392000e+02 1.941477e+04
8.391500e+02 1.941477e+04
8.391000e+02 1.923683e+04
8.390500e+02 1.923683e+04
8.390000e+02 1.919213e+04
8.389500e+02 1.919213e+04
8.389000e+02 1.933493e+04
8.388500e+02 1.933493e+04
8.388000e+02 1.936563e+04
8.387500e+02 1.936563e+04
8.387000e+02 1.927263e+04
8.386500e+02 1.927263e+04
8.386000e+02 1.920670e+04
8.385500e+02 1.920670e+04
8.385000e+02 1.940310e+04
8.384500e+02 1.940310e+04
8.384000e+02 1.929840e+04
8.383500e+02 1.929840e+04
8.383000e+02 1.929907e+04
8.382500e+02 1.929907e+04
8.382000e+02 1.929550e+04
8.381500e+02 1.929550e+04
8.381000e+02 1.915873e+04
8.380500e+02 1.915873e+04
8.380000e+02 1.904533e+04
8.379500e+02 1.904533e+04
8.379000e+02 1.911697e+04
8.378500e+02 1.911697e+04
8.378000e+02 1.919657e+04
8.377500e+02 1.919657e+04
8.377000e+02 1.927397e+04
8.376500e+02 1.927397e+04
8.376000e+02 1.918443e+04
8.375500e+02 1.918443e+04
8.375000e+02 1.918000e+04
8.374500e+02 1.918000e+04
8.374000e+02 1.916613e+04
8.373500e+02 1.916613e+04
8.373000e+02 1.920070e+04
8.372500e+02 1.920070e+04
8.372000e+02 1.904977e+04
8.371500e+02 1.904977e+04
8.371000e+02 1.910243e+04
8.370500e+02 1.910243e+04
8.370000e+02 1.905843e+04
