Co2pFe2p Fe2O3
8.400000e+02 8.476133e+03
8.399500e+02 8.476133e+03
8.399000e+02 8.392967e+03
8.398500e+02 8.392967e+03
8.398000e+02 8.498567e+03
8.397500e+02 8.498567e+03
8.397000e+02 8.426667e+03
8.396500e+02 8.426667e+03
8.396000e+02 8.314400e+03
8.395500e+02 8.314400e+03
8.395000e+02 8.387367e+03
8.394500e+02 8.387367e+03
8.394000e+02 8.512033e+03
8.393500e+02 8.512033e+03
8.393000e+02 8.345800e+03
8.392500e+02 8.345800e+03
8.392000e+02 8.321933e+03
8.391500e+02 8.321933e+03
8.391000e+02 8.313767e+03
8.390500e+02 8.313767e+03
8.390000e+02 8.418633e+03
8.389500e+02 8.418633e+03
8.389000e+02 8.282767e+03
8.388500e+02 8.282767e+03
8.388000e+02 8.220500e+03
8.387500e+02 8.220500e+03
8.387000e+02 8.344400e+03
8.386500e+02 8.344400e+03
8.386000e+02 8.355867e+03
8.385500e+02 8.355867e+03
8.385000e+02 8.306133e+03
8.384500e+02 8.306133e+03
8.384000e+02 8.369233e+03
8.383500e+02 8.369233e+03
8.383000e+02 8.258733e+03
8.382500e+02 8.258733e+03
8.382000e+02 8.260700e+03
8.381500e+02 8.260700e+03
8.381000e+02 8.259833e+03
8.380500e+02 8.259833e+03
8.380000e+02 8.211800e+03
8.379500e+02 8.211800e+03
8.379000e+02 8.224567e+03
8.378500e+02 8.224567e+03
8.378000e+02 8.163333e+03
8.377500e+02 8.163333e+03
8.377000e+02 8.212667e+03
8.376500e+02 8.212667e+03
8.376000e+02 8.178467e+03
8.375500e+02 8.178467e+03
8.375000e+02 8.072633e+03
8.374500e+02 8.072633e+03
8.374000e+02 8.108833e+03
8.373500e+02 8.108833e+03
8.373000e+02 8.065267e+03
8.372500e+02 8.065267e+03
8.372000e+02 8.118333e+03
8.371500e+02 8.118333e+03
8.371000e+02 8.075333e+03
8.370500e+02 8.075333e+03
8.370000e+02 8.071767e+03
8.369500e+02 8.071767e+03
8.369000e+02 8.063567e+03
8.368500e+02 8.063567e+03
8.368000e+02 8.074400e+03
8.367500e+02 8.074400e+03
8.367000e+02 8.023133e+03
8.366500e+02 8.023133e+03
8.366000e+02 8.012233e+03
8.365500e+02 8.012233e+03
8.365000e+02 7.898100e+03
8.364500e+02 7.898100e+03
8.364000e+02 7.933267e+03
8.363500e+02 7.933267e+03
8.363000e+02 8.044233e+03
8.362500e+02 8.044233e+03
8.362000e+02 7.993967e+03
8.361500e+02 7.993967e+03
8.361000e+02 7.982833e+03
8.360500e+02 7.982833e+03
8.360000e+02 7.897667e+03
8.359500e+02 7.897667e+03
8.359000e+02 8.068200e+03
8.358500e+02 8.068200e+03
8.358000e+02 8.059967e+03
8.357500e+02 8.059967e+03
8.357000e+02 8.025733e+03
8.356500e+02 8.025733e+03
8.356000e+02 7.990867e+03
8.355500e+02 7.990867e+03
8.355000e+02 7.979400e+03
8.354500e+02 7.979400e+03
8.354000e+02 7.902600e+03
8.353500e+02 7.902600e+03
8.353000e+02 7.935600e+03
8.352500e+02 7.935600e+03
8.352000e+02 7.898967e+03
8.351500e+02 7.898967e+03
8.351000e+02 7.855667e+03
8.350500e+02 7.855667e+03
8.350000e+02 7.817867e+03
8.349500e+02 7.817867e+03
8.349000e+02 7.842667e+03
8.348500e+02 7.842667e+03
8.348000e+02 7.885433e+03
8.347500e+02 7.885433e+03
8.347000e+02 7.885667e+03
8.346500e+02 7.885667e+03
8.346000e+02 7.803267e+03
8.345500e+02 7.803267e+03
8.345000e+02 7.684200e+03
8.344500e+02 7.684200e+03
8.344000e+02 7.656533e+03
8.343500e+02 7.656533e+03
8.343000e+02 7.699833e+03
8.342500e+02 7.699833e+03
8.342000e+02 7.710900e+03
8.341500e+02 7.710900e+03
8.341000e+02 7.706133e+03
8.340500e+02 7.706133e+03
8.340000e+02 7.530500e+03
8.339500e+02 7.530500e+03
8.339000e+02 7.472267e+03
8.338500e+02 7.472267e+03
8.338000e+02 7.340800e+03
8.337500e+02 7.340800e+03
8.337000e+02 7.358267e+03
8.336500e+02 7.358267e+03
8.336000e+02 7.378500e+03
8.335500e+02 7.378500e+03
8.335000e+02 7.379600e+03
8.334500e+02 7.379600e+03
8.334000e+02 7.267767e+03
8.333500e+02 7.267767e+03
8.333000e+02 7.128200e+03
8.332500e+02 7.128200e+03
8.332000e+02 7.048233e+03
8.331500e+02 7.048233e+03
8.331000e+02 7.065300e+03
8.330500e+02 7.065300e+03
8.330000e+02 6.928200e+03
8.329500e+02 6.928200e+03
8.329000e+02 6.920000e+03
8.328500e+02 6.920000e+03
8.328000e+02 6.770633e+03
8.327500e+02 6.770633e+03
8.327000e+02 6.661700e+03
8.326500e+02 6.661700e+03
8.326000e+02 6.647033e+03
8.325500e+02 6.647033e+03
8.325000e+02 6.592900e+03
8.324500e+02 6.592900e+03
8.324000e+02 6.669200e+03
8.323500e+02 6.669200e+03
8.323000e+02 6.573367e+03
8.322500e+02 6.573367e+03
8.322000e+02 6.511700e+03
8.321500e+02 6.511700e+03
8.321000e+02 6.452400e+03
8.320500e+02 6.452400e+03
8.320000e+02 6.408067e+03
8.319500e+02 6.408067e+03
8.319000e+02 6.434067e+03
8.318500e+02 6.434067e+03
8.318000e+02 6.466533e+03
8.317500e+02 6.466533e+03
8.317000e+02 6.364733e+03
8.316500e+02 6.364733e+03
8.316000e+02 6.344400e+03
8.315500e+02 6.344400e+03
8.315000e+02 6.327300e+03
8.314500e+02 6.327300e+03
8.314000e+02 6.316200e+03
8.313500e+02 6.316200e+03
8.313000e+02 6.247367e+03
8.312500e+02 6.247367e+03
8.312000e+02 6.237233e+03
8.311500e+02 6.237233e+03
8.311000e+02 6.236833e+03
8.310500e+02 6.236833e+03
8.310000e+02 6.242367e+03
8.309500e+02 6.242367e+03
8.309000e+02 6.177400e+03
8.308500e+02 6.177400e+03
8.308000e+02 6.166500e+03
8.307500e+02 6.166500e+03
8.307000e+02 6.176100e+03
8.306500e+02 6.176100e+03
8.306000e+02 6.128233e+03
8.305500e+02 6.128233e+03
8.305000e+02 6.220000e+03
8.304500e+02 6.220000e+03
8.304000e+02 6.246267e+03
8.303500e+02 6.246267e+03
8.303000e+02 6.125700e+03
8.302500e+02 6.125700e+03
8.302000e+02 6.072900e+03
8.301500e+02 6.072900e+03
8.301000e+02 6.124633e+03
8.300500e+02 6.124633e+03
8.300000e+02 6.043033e+03
8.299500e+02 6.043033e+03
8.299000e+02 6.179467e+03
8.298500e+02 6.179467e+03
8.298000e+02 6.161933e+03
8.297500e+02 6.161933e+03
8.297000e+02 6.081433e+03
8.296500e+02 6.081433e+03
8.296000e+02 6.064167e+03
8.295500e+02 6.064167e+03
8.295000e+02 6.108467e+03
8.294500e+02 6.108467e+03
8.294000e+02 6.104400e+03
8.293500e+02 6.104400e+03
8.293000e+02 6.083533e+03
8.292500e+02 6.083533e+03
8.292000e+02 6.011800e+03
8.291500e+02 6.011800e+03
8.291000e+02 6.028733e+03
