Ni2pCo2pFe2p Co3O4
8.900000e+02 1.375950e+04
8.899000e+02 1.366177e+04
8.898000e+02 1.381970e+04
8.897000e+02 1.373473e+04
8.896000e+02 1.371383e+04
8.895000e+02 1.373890e+04
8.894000e+02 1.382223e+04
8.893000e+02 1.373620e+04
8.892000e+02 1.365537e+04
8.891000e+02 1.362453e+04
8.890000e+02 1.369517e+04
8.889000e+02 1.379710e+04
8.888000e+02 1.377850e+04
8.887000e+02 1.376993e+04
8.886000e+02 1.371613e+04
8.885000e+02 1.376027e+04
8.884000e+02 1.385357e+04
8.883000e+02 1.383200e+04
8.882000e+02 1.389137e+04
8.881000e+02 1.387580e+04
8.880000e+02 1.380380e+04
8.879000e+02 1.375527e+04
8.878000e+02 1.381823e+04
8.877000e+02 1.384617e+04
8.876000e+02 1.379437e+04
8.875000e+02 1.379623e+04
8.874000e+02 1.388253e+04
8.873000e+02 1.380767e+04
8.872000e+02 1.388027e+04
8.871000e+02 1.394560e+04
8.870000e+02 1.394633e+04
8.869000e+02 1.394987e+04
8.868000e+02 1.396153e+04
8.867000e+02 1.394720e+04
8.866000e+02 1.403343e+04
8.865000e+02 1.403793e+04
8.864000e+02 1.399217e+04
8.863000e+02 1.384890e+04
8.862000e+02 1.386230e+04
8.861000e+02 1.390643e+04
8.860000e+02 1.388980e+04
8.859000e+02 1.394563e+04
8.858000e+02 1.405607e+04
8.857000e+02 1.403167e+04
8.856000e+02 1.394230e+04
8.855000e+02 1.405390e+04
8.854000e+02 1.402913e+04
8.853000e+02 1.409980e+04
8.852000e+02 1.406293e+04
8.851000e+02 1.412543e+04
8.850000e+02 1.415000e+04
8.849000e+02 1.402550e+04
8.848000e+02 1.411380e+04
8.847000e+02 1.410853e+04
8.846000e+02 1.412217e+04
8.845000e+02 1.408523e+04
8.844000e+02 1.403803e+04
8.843000e+02 1.402537e+04
8.842000e+02 1.404903e+04
8.841000e+02 1.408147e+04
8.840000e+02 1.412860e+04
8.839000e+02 1.410250e+04
8.838000e+02 1.412030e+04
8.837000e+02 1.412240e+04
8.836000e+02 1.413480e+04
8.835000e+02 1.414610e+04
8.834000e+02 1.407413e+04
8.833000e+02 1.406863e+04
8.832000e+02 1.403690e+04
8.831000e+02 1.410297e+04
8.830000e+02 1.407390e+04
8.829000e+02 1.404530e+04
8.828000e+02 1.414567e+04
8.827000e+02 1.405380e+04
8.826000e+02 1.405373e+04
8.825000e+02 1.403777e+04
