Ni2pCo2pFe2p Fe2O3
8.900000e+02 9.375267e+03
8.899000e+02 9.432200e+03
8.898000e+02 9.404467e+03
8.897000e+02 9.333300e+03
8.896000e+02 9.376700e+03
8.895000e+02 9.464100e+03
8.894000e+02 9.513333e+03
8.893000e+02 9.421900e+03
8.892000e+02 9.335700e+03
8.891000e+02 9.362267e+03
8.890000e+02 9.315233e+03
8.889000e+02 9.335600e+03
8.888000e+02 9.311167e+03
8.887000e+02 9.234600e+03
8.886000e+02 9.283633e+03
8.885000e+02 9.265967e+03
8.884000e+02 9.156900e+03
8.883000e+02 9.216800e+03
8.882000e+02 9.273867e+03
8.881000e+02 9.172533e+03
8.880000e+02 9.110500e+03
8.879000e+02 9.066767e+03
8.878000e+02 8.977200e+03
8.877000e+02 8.929600e+03
8.876000e+02 8.862333e+03
8.875000e+02 8.870733e+03
8.874000e+02 8.795233e+03
8.873000e+02 8.768767e+03
8.872000e+02 8.660067e+03
8.871000e+02 8.606800e+03
8.870000e+02 8.634867e+03
8.869000e+02 8.633867e+03
8.868000e+02 8.534100e+03
8.867000e+02 8.408633e+03
8.866000e+02 8.414800e+03
8.865000e+02 8.381200e+03
8.864000e+02 8.426100e+03
8.863000e+02 8.304567e+03
8.862000e+02 8.281467e+03
8.861000e+02 8.355033e+03
8.860000e+02 8.325833e+03
8.859000e+02 8.195967e+03
8.858000e+02 8.181233e+03
8.857000e+02 8.155133e+03
8.856000e+02 8.181267e+03
8.855000e+02 8.100267e+03
8.854000e+02 8.071367e+03
8.853000e+02 8.032633e+03
8.852000e+02 8.079433e+03
8.851000e+02 8.026767e+03
8.850000e+02 8.096100e+03
8.849000e+02 8.011800e+03
8.848000e+02 8.017033e+03
8.847000e+02 8.013033e+03
8.846000e+02 7.977533e+03
8.845000e+02 8.001200e+03
8.844000e+02 7.973300e+03
8.843000e+02 7.946067e+03
8.842000e+02 7.858233e+03
8.841000e+02 7.936567e+03
8.840000e+02 7.912433e+03
8.839000e+02 7.950667e+03
8.838000e+02 7.901133e+03
8.837000e+02 7.842300e+03
8.836000e+02 7.926767e+03
8.835000e+02 7.869800e+03
8.834000e+02 7.937500e+03
8.833000e+02 7.916433e+03
8.832000e+02 7.914600e+03
8.831000e+02 7.832900e+03
8.830000e+02 7.811300e+03
8.829000e+02 7.858600e+03
8.828000e+02 7.836567e+03
8.827000e+02 7.864433e+03
8.826000e+02 7.867800e+03
8.825000e+02 7.798600e+03
8.824000e+02 7.724033e+03
8.823000e+02 7.812433e+03
8.822000e+02 7.831633e+03
8.821000e+02 7.848300e+03
8.820000e+02 7.907100e+03
8.819000e+02 7.823633e+03
8.818000e+02 7.808900e+03
8.817000e+02 7.798367e+03
8.816000e+02 7.784567e+03
8.815000e+02 7.838967e+03
8.814000e+02 7.848400e+03
8.813000e+02 7.826967e+03
8.812000e+02 7.861600e+03
8.811000e+02 7.832267e+03
8.810000e+02 7.871767e+03
8.809000e+02 7.857167e+03
8.808000e+02 7.806633e+03
8.807000e+02 7.803833e+03
8.806000e+02 7.807633e+03
8.805000e+02 7.758833e+03
8.804000e+02 7.760633e+03
8.803000e+02 7.808600e+03
8.802000e+02 7.783400e+03
8.801000e+02 7.794967e+03
8.800000e+02 7.788533e+03
8.799000e+02 7.868100e+03
8.798000e+02 7.840867e+03
8.797000e+02 7.822433e+03
8.796000e+02 7.792200e+03
8.795000e+02 7.831567e+03
8.794000e+02 7.762733e+03
8.793000e+02 7.738667e+03
8.792000e+02 7.787133e+03
8.791000e+02 7.858800e+03
8.790000e+02 7.864833e+03
8.789000e+02 7.849000e+03
8.788000e+02 7.839067e+03
8.787000e+02 7.758333e+03
8.786000e+02 7.816500e+03
8.785000e+02 7.817467e+03
8.784000e+02 7.747100e+03
8.783000e+02 7.788800e+03
8.782000e+02 7.774033e+03
8.781000e+02 7.798733e+03
8.780000e+02 7.823367e+03
8.779000e+02 7.790033e+03
8.778000e+02 7.787100e+03
8.777000e+02 7.879367e+03
8.776000e+02 7.844500e+03
8.775000e+02 7.826967e+03
8.774000e+02 7.850433e+03
8.773000e+02 7.883333e+03
8.772000e+02 7.810767e+03
8.771000e+02 7.810933e+03
8.770000e+02 7.836000e+03
8.769000e+02 7.814833e+03
8.768000e+02 7.807900e+03
8.767000e+02 7.684400e+03
8.766000e+02 7.809433e+03
8.765000e+02 7.864233e+03
8.764000e+02 7.892000e+03
8.763000e+02 7.745900e+03
8.762000e+02 7.722333e+03
8.761000e+02 7.774600e+03
8.760000e+02 7.764833e+03
8.759000e+02 7.788467e+03
8.758000e+02 7.784967e+03
8.757000e+02 7.810733e+03
8.756000e+02 7.797833e+03
8.755000e+02 7.734867e+03
8.754000e+02 7.765867e+03
8.753000e+02 7.774000e+03
8.752000e+02 7.731267e+03
8.751000e+02 7.720233e+03
8.750000e+02 7.698033e+03
8.749000e+02 7.675733e+03
8.748000e+02 7.738500e+03
8.747000e+02 7.713200e+03
8.746000e+02 7.739967e+03
8.745000e+02 7.692233e+03
8.744000e+02 7.726033e+03
8.743000e+02 7.689400e+03
8.742000e+02 7.771567e+03
8.741000e+02 7.691467e+03
8.740000e+02 7.664433e+03
8.739000e+02 7.629433e+03
8.738000e+02 7.615300e+03
8.737000e+02 7.637367e+03
8.736000e+02 7.626100e+03
8.735000e+02 7.698800e+03
8.734000e+02 7.690300e+03
8.733000e+02 7.628767e+03
8.732000e+02 7.610800e+03
8.731000e+02 7.662900e+03
8.730000e+02 7.574833e+03
8.729000e+02 7.679233e+03
8.728000e+02 7.638167e+03
8.727000e+02 7.649300e+03
8.726000e+02 7.650133e+03
8.725000e+02 7.624567e+03
8.724000e+02 7.617967e+03
8.723000e+02 7.674133e+03
8.722000e+02 7.659200e+03
8.721000e+02 7.703467e+03
8.720000e+02 7.623067e+03
8.719000e+02 7.694567e+03
8.718000e+02 7.583367e+03
8.717000e+02 7.590367e+03
8.716000e+02 7.579067e+03
8.715000e+02 7.631533e+03
8.714000e+02 7.666000e+03
8.713000e+02 7.628233e+03
8.712000e+02 7.648800e+03
8.711000e+02 7.608767e+03
8.710000e+02 7.679233e+03
8.709000e+02 7.677133e+03
8.708000e+02 7.668733e+03
8.707000e+02 7.665467e+03
8.706000e+02 7.676033e+03
8.705000e+02 7.736300e+03
8.704000e+02 7.693500e+03
8.703000e+02 7.648333e+03
8.702000e+02 7.728200e+03
8.701000e+02 7.673067e+03
8.700000e+02 7.709167e+03
8.699000e+02 7.698100e+03
8.698000e+02 7.684133e+03
8.697000e+02 7.670733e+03
8.696000e+02 7.671200e+03
8.695000e+02 7.651333e+03
8.694000e+02 7.631800e+03
8.693000e+02 7.668467e+03
8.692000e+02 7.672367e+03
8.691000e+02 7.711467e+03
8.690000e+02 7.755900e+03
8.689000e+02 7.716700e+03
8.688000e+02 7.727200e+03
8.687000e+02 7.724400e+03
8.686000e+02 7.771867e+03
8.685000e+02 7.783967e+03
8.684000e+02 7.682233e+03
8.683000e+02 7.702600e+03
8.682000e+02 7.778200e+03
8.681000e+02 7.764067e+03
8.680000e+02 7.674267e+03
8.679000e+02 7.655800e+03
8.678000e+02 7.705667e+03
8.677000e+02 7.696000e+03
8.676000e+02 7.622100e+03
8.675000e+02 7.695833e+03
8.674000e+02 7.686800e+03
8.673000e+02 7.706600e+03
8.672000e+02 7.664833e+03
8.671000e+02 7.728900e+03
8.670000e+02 7.667267e+03
8.669000e+02 7.728933e+03
8.668000e+02 7.771900e+03
8.667000e+02 7.696500e+03
8.666000e+02 7.680233e+03
8.665000e+02 7.783867e+03
8.664000e+02 7.722767e+03
8.663000e+02 7.696200e+03
8.662000e+02 7.846700e+03
8.661000e+02 7.847633e+03
8.660000e+02 7.779633e+03
8.659000e+02 7.831700e+03
8.658000e+02 7.811433e+03
8.657000e+02 7.793800e+03
8.656000e+02 7.824533e+03
8.655000e+02 7.746267e+03
8.654000e+02 7.811467e+03
8.653000e+02 7.720967e+03
8.652000e+02 7.821700e+03
8.651000e+02 7.797867e+03
8.650000e+02 7.761867e+03
8.649000e+02 7.867533e+03
8.648000e+02 7.866633e+03
8.647000e+02 7.837033e+03
8.646000e+02 7.828067e+03
8.645000e+02 7.815700e+03
8.644000e+02 7.795300e+03
8.643000e+02 7.847033e+03
8.642000e+02 7.808133e+03
8.641000e+02 7.777533e+03
8.640000e+02 7.858767e+03
8.639000e+02 7.864133e+03
8.638000e+02 7.806167e+03
8.637000e+02 7.816733e+03
8.636000e+02 7.895533e+03
8.635000e+02 7.883567e+03
8.634000e+02 7.860867e+03
8.633000e+02 7.827133e+03
8.632000e+02 7.915600e+03
8.631000e+02 7.894800e+03
8.630000e+02 7.866233e+03
8.629000e+02 7.969500e+03
8.628000e+02 7.948533e+03
8.627000e+02 7.875333e+03
8.626000e+02 7.921833e+03
8.625000e+02 7.895633e+03
8.624000e+02 7.899700e+03
8.623000e+02 7.910800e+03
8.622000e+02 7.952200e+03
8.621000e+02 7.969800e+03
8.620000e+02 7.946700e+03
8.619000e+02 7.968567e+03
8.618000e+02 7.908733e+03
8.617000e+02 7.989167e+03
8.616000e+02 8.006067e+03
8.615000e+02 8.028500e+03
8.614000e+02 8.021000e+03
8.613000e+02 8.035700e+03
8.612000e+02 8.017100e+03
8.611000e+02 8.048400e+03
8.610000e+02 8.029733e+03
8.609000e+02 8.021933e+03
8.608000e+02 7.979200e+03
8.607000e+02 7.970000e+03
8.606000e+02 7.980933e+03
8.605000e+02 7.987967e+03
8.604000e+02 7.974633e+03
8.603000e+02 8.054867e+03
8.602000e+02 8.065900e+03
8.601000e+02 8.115100e+03
8.600000e+02 8.104767e+03
8.599000e+02 8.046733e+03
8.598000e+02 8.113800e+03
8.597000e+02 8.154967e+03
8.596000e+02 8.119900e+03
8.595000e+02 8.086500e+03
8.594000e+02 8.096133e+03
8.593000e+02 8.092100e+03
8.592000e+02 8.053367e+03
8.591000e+02 8.101067e+03
8.590000e+02 8.093733e+03
8.589000e+02 8.207600e+03
8.588000e+02 8.179100e+03
8.587000e+02 8.177033e+03
8.586000e+02 8.114633e+03
8.585000e+02 8.181300e+03
8.584000e+02 8.136700e+03
8.583000e+02 8.305433e+03
8.582000e+02 8.201167e+03
8.581000e+02 8.151400e+03
8.580000e+02 8.173500e+03
8.579000e+02 8.174067e+03
8.578000e+02 8.222200e+03
8.577000e+02 8.173733e+03
8.576000e+02 8.173933e+03
8.575000e+02 8.282633e+03
8.574000e+02 8.280533e+03
8.573000e+02 8.265967e+03
8.572000e+02 8.320567e+03
8.571000e+02 8.181000e+03
8.570000e+02 8.295033e+03
8.569000e+02 8.269700e+03
8.568000e+02 8.291033e+03
8.567000e+02 8.294700e+03
8.566000e+02 8.297200e+03
8.565000e+02 8.362100e+03
8.564000e+02 8.303133e+03
8.563000e+02 8.349800e+03
8.562000e+02 8.420267e+03
8.561000e+02 8.363033e+03
8.560000e+02 8.238600e+03
8.559000e+02 8.330800e+03
8.558000e+02 8.368900e+03
8.557000e+02 8.337233e+03
8.556000e+02 8.357967e+03
8.555000e+02 8.324400e+03
8.554000e+02 8.437833e+03
8.553000e+02 8.475700e+03
8.552000e+02 8.385967e+03
8.551000e+02 8.311033e+03
8.550000e+02 8.378800e+03
8.549000e+02 8.427533e+03
8.548000e+02 8.408867e+03
8.547000e+02 8.474467e+03
8.546000e+02 8.511800e+03
8.545000e+02 8.439767e+03
8.544000e+02 8.439333e+03
8.543000e+02 8.371767e+03
8.542000e+02 8.463733e+03
8.541000e+02 8.464767e+03
8.540000e+02 8.505033e+03
8.539000e+02 8.497167e+03
8.538000e+02 8.488033e+03
8.537000e+02 8.533900e+03
8.536000e+02 8.510867e+03
8.535000e+02 8.531967e+03
8.534000e+02 8.631167e+03
8.533000e+02 8.585233e+03
8.532000e+02 8.522433e+03
8.531000e+02 8.483433e+03
8.530000e+02 8.549700e+03
8.529000e+02 8.605900e+03
8.528000e+02 8.616433e+03
8.527000e+02 8.637167e+03
8.526000e+02 8.649200e+03
8.525000e+02 8.591500e+03
8.524000e+02 8.588667e+03
8.523000e+02 8.569367e+03
8.522000e+02 8.650800e+03
8.521000e+02 8.645200e+03
8.520000e+02 8.662567e+03
8.519000e+02 8.627000e+03
8.518000e+02 8.642467e+03
8.517000e+02 8.524800e+03
8.516000e+02 8.569133e+03
8.515000e+02 8.651900e+03
8.514000e+02 8.660433e+03
8.513000e+02 8.579300e+03
8.512000e+02 8.650000e+03
8.511000e+02 8.731367e+03
8.510000e+02 8.706800e+03
8.509000e+02 8.629300e+03
8.508000e+02 8.658067e+03
8.507000e+02 8.778167e+03
8.506000e+02 8.692900e+03
8.505000e+02 8.700567e+03
8.504000e+02 8.723133e+03
8.503000e+02 8.683000e+03
8.502000e+02 8.689533e+03
8.501000e+02 8.669200e+03
8.500000e+02 8.687000e+03
8.499000e+02 8.674767e+03
8.498000e+02 8.703567e+03
8.497000e+02 8.696900e+03
8.496000e+02 8.706367e+03
8.495000e+02 8.797100e+03
8.494000e+02 8.851467e+03
8.493000e+02 8.715767e+03
8.492000e+02 8.838867e+03
8.491000e+02 8.906833e+03
8.490000e+02 8.850300e+03
8.489000e+02 8.840633e+03
8.488000e+02 8.786900e+03
8.487000e+02 8.768300e+03
8.486000e+02 8.761567e+03
8.485000e+02 8.791800e+03
8.484000e+02 8.800500e+03
8.483000e+02 8.767100e+03
8.482000e+02 8.852733e+03
8.481000e+02 8.848833e+03
8.480000e+02 8.917200e+03
8.479000e+02 8.897800e+03
8.478000e+02 8.794433e+03
8.477000e+02 8.790467e+03
8.476000e+02 8.824033e+03
8.475000e+02 8.867733e+03
8.474000e+02 8.799733e+03
8.473000e+02 8.939267e+03
8.472000e+02 8.881033e+03
8.471000e+02 8.850467e+03
8.470000e+02 8.816133e+03
8.469000e+02 8.940300e+03
8.468000e+02 8.832667e+03
8.467000e+02 8.833933e+03
8.466000e+02 8.852633e+03
8.465000e+02 8.855133e+03
8.464000e+02 8.888767e+03
8.463000e+02 8.873400e+03
8.462000e+02 8.918767e+03
8.461000e+02 8.857433e+03
8.460000e+02 8.812967e+03
8.459000e+02 8.864733e+03
8.458000e+02 8.774267e+03
8.457000e+02 8.768933e+03
8.456000e+02 8.756700e+03
8.455000e+02 8.853200e+03
8.454000e+02 8.815167e+03
8.453000e+02 8.777600e+03
8.452000e+02 8.772833e+03
8.451000e+02 8.769933e+03
8.450000e+02 8.739467e+03
8.449000e+02 8.695600e+03
8.448000e+02 8.708667e+03
8.447000e+02 8.666067e+03
8.446000e+02 8.777600e+03
8.445000e+02 8.805567e+03
8.444000e+02 8.767733e+03
8.443000e+02 8.799833e+03
8.442000e+02 8.706533e+03
8.441000e+02 8.710400e+03
8.440000e+02 8.693533e+03
8.439000e+02 8.642767e+03
8.438000e+02 8.795000e+03
8.437000e+02 8.773233e+03
8.436000e+02 8.698900e+03
8.435000e+02 8.672633e+03
8.434000e+02 8.691433e+03
8.433000e+02 8.712433e+03
8.432000e+02 8.764767e+03
8.431000e+02 8.718433e+03
8.430000e+02 8.637433e+03
