Pd3d PdO
3.830000e+02 1.788383e+03
3.829500e+02 1.830250e+03
3.829000e+02 1.830250e+03
3.828500e+02 1.830250e+03
3.828000e+02 1.872117e+03
3.827500e+02 1.913467e+03
3.827000e+02 1.913467e+03
3.826500e+02 1.913467e+03
3.826000e+02 1.954817e+03
3.825500e+02 1.956392e+03
3.825000e+02 1.956392e+03
3.824500e+02 1.956392e+03
3.824000e+02 1.957967e+03
3.823500e+02 1.943192e+03
3.823000e+02 1.943192e+03
3.822500e+02 1.943192e+03
3.822000e+02 1.928417e+03
3.821500e+02 1.903583e+03
3.821000e+02 1.903583e+03
3.820500e+02 1.903583e+03
3.820000e+02 1.878750e+03
3.819500e+02 1.911492e+03
3.819000e+02 1.911492e+03
3.818500e+02 1.911492e+03
3.818000e+02 1.944233e+03
3.817500e+02 1.937708e+03
3.817000e+02 1.937708e+03
3.816500e+02 1.937708e+03
3.816000e+02 1.931183e+03
3.815500e+02 1.916508e+03
3.815000e+02 1.916508e+03
3.814500e+02 1.916508e+03
3.814000e+02 1.901833e+03
3.813500e+02 1.915441e+03
3.813000e+02 1.915441e+03
3.812500e+02 1.915441e+03
3.812000e+02 1.929050e+03
3.811500e+02 1.904858e+03
3.811000e+02 1.904858e+03
3.810500e+02 1.904858e+03
3.810000e+02 1.880667e+03
3.809500e+02 1.862375e+03
3.809000e+02 1.862375e+03
3.808500e+02 1.862375e+03
3.808000e+02 1.844083e+03
3.807500e+02 1.873533e+03
3.807000e+02 1.873533e+03
3.806500e+02 1.873533e+03
3.806000e+02 1.902983e+03
3.805500e+02 1.893133e+03
3.805000e+02 1.893133e+03
3.804500e+02 1.893133e+03
3.804000e+02 1.883283e+03
3.803500e+02 1.916541e+03
3.803000e+02 1.916541e+03
3.802500e+02 1.916541e+03
3.802000e+02 1.949800e+03
3.801500e+02 1.948416e+03
3.801000e+02 1.948416e+03
3.800500e+02 1.948416e+03
3.800000e+02 1.947033e+03
3.799500e+02 1.938175e+03
3.799000e+02 1.938175e+03
3.798500e+02 1.938175e+03
3.798000e+02 1.929317e+03
3.797500e+02 1.916142e+03
3.797000e+02 1.916142e+03
3.796500e+02 1.916142e+03
3.796000e+02 1.902967e+03
3.795500e+02 1.944975e+03
3.795000e+02 1.944975e+03
3.794500e+02 1.944975e+03
3.794000e+02 1.986983e+03
3.793500e+02 1.988875e+03
3.793000e+02 1.988875e+03
3.792500e+02 1.988875e+03
3.792000e+02 1.990767e+03
3.791500e+02 1.972959e+03
3.791000e+02 1.972959e+03
3.790500e+02 1.972959e+03
3.790000e+02 1.955150e+03
3.789500e+02 1.961100e+03
3.789000e+02 1.961100e+03
3.788500e+02 1.961100e+03
3.788000e+02 1.967050e+03
3.787500e+02 1.931784e+03
3.787000e+02 1.931784e+03
3.786500e+02 1.931784e+03
3.786000e+02 1.896517e+03
3.785500e+02 1.926992e+03
3.785000e+02 1.926992e+03
3.784500e+02 1.926992e+03
3.784000e+02 1.957467e+03
3.783500e+02 1.910034e+03
3.783000e+02 1.910034e+03
3.782500e+02 1.910034e+03
3.782000e+02 1.862600e+03
3.781500e+02 1.885725e+03
3.781000e+02 1.885725e+03
3.780500e+02 1.885725e+03
3.780000e+02 1.908850e+03
3.779500e+02 1.895000e+03
3.779000e+02 1.895000e+03
3.778500e+02 1.895000e+03
3.778000e+02 1.881150e+03
3.777500e+02 1.866966e+03
3.777000e+02 1.866966e+03
3.776500e+02 1.866966e+03
3.776000e+02 1.852783e+03
3.775500e+02 1.905716e+03
3.775000e+02 1.905716e+03
3.774500e+02 1.905716e+03
3.774000e+02 1.958650e+03
3.773500e+02 1.949775e+03
3.773000e+02 1.949775e+03
3.772500e+02 1.949775e+03
3.772000e+02 1.940900e+03
3.771500e+02 1.935709e+03
3.771000e+02 1.935709e+03
3.770500e+02 1.935709e+03
3.770000e+02 1.930517e+03
3.769500e+02 1.938842e+03
3.769000e+02 1.938842e+03
3.768500e+02 1.938842e+03
3.768000e+02 1.947167e+03
3.767500e+02 1.948967e+03
3.767000e+02 1.948967e+03
3.766500e+02 1.948967e+03
3.766000e+02 1.950767e+03
3.765500e+02 1.957467e+03
3.765000e+02 1.957467e+03
3.764500e+02 1.957467e+03
3.764000e+02 1.964167e+03
3.763500e+02 1.961708e+03
3.763000e+02 1.961708e+03
3.762500e+02 1.961708e+03
3.762000e+02 1.959250e+03
3.761500e+02 1.948225e+03
3.761000e+02 1.948225e+03
3.760500e+02 1.948225e+03
3.760000e+02 1.937200e+03
3.759500e+02 1.925584e+03
3.759000e+02 1.925584e+03
3.758500e+02 1.925584e+03
3.758000e+02 1.913967e+03
3.757500e+02 1.912975e+03
3.757000e+02 1.912975e+03
3.756500e+02 1.912975e+03
3.756000e+02 1.911983e+03
3.755500e+02 1.931783e+03
3.755000e+02 1.931783e+03
3.754500e+02 1.931783e+03
3.754000e+02 1.951583e+03
3.753500e+02 1.932133e+03
3.753000e+02 1.932133e+03
3.752500e+02 1.932133e+03
3.752000e+02 1.912683e+03
3.751500e+02 1.951633e+03
3.751000e+02 1.951633e+03
3.750500e+02 1.951633e+03
3.750000e+02 1.990583e+03
3.749500e+02 1.962725e+03
3.749000e+02 1.962725e+03
3.748500e+02 1.962725e+03
3.748000e+02 1.934867e+03
3.747500e+02 1.918133e+03
3.747000e+02 1.918133e+03
3.746500e+02 1.918133e+03
3.746000e+02 1.901400e+03
3.745500e+02 1.872517e+03
3.745000e+02 1.872517e+03
3.744500e+02 1.872517e+03
3.744000e+02 1.843633e+03
3.743500e+02 1.904883e+03
3.743000e+02 1.904883e+03
3.742500e+02 1.904883e+03
3.742000e+02 1.966133e+03
3.741500e+02 1.930350e+03
3.741000e+02 1.930350e+03
3.740500e+02 1.930350e+03
3.740000e+02 1.894567e+03
3.739500e+02 1.932675e+03
