Pd metal	
3.830000e+02 2.378653e+03
3.829500e+02 2.397532e+03
3.829000e+02 2.397532e+03
3.828500e+02 2.397532e+03
3.828000e+02 2.416410e+03
3.827500e+02 2.423989e+03
3.827000e+02 2.423989e+03
3.826500e+02 2.423989e+03
3.826000e+02 2.431568e+03
3.825500e+02 2.429547e+03
3.825000e+02 2.429547e+03
3.824500e+02 2.429547e+03
3.824000e+02 2.427525e+03
3.823500e+02 2.438771e+03
3.823000e+02 2.438771e+03
3.822500e+02 2.438771e+03
3.822000e+02 2.450017e+03
3.821500e+02 2.446926e+03
3.821000e+02 2.446926e+03
3.820500e+02 2.446926e+03
3.820000e+02 2.443835e+03
3.819500e+02 2.445778e+03
3.819000e+02 2.445778e+03
3.818500e+02 2.445778e+03
3.818000e+02 2.447720e+03
3.817500e+02 2.436760e+03
3.817000e+02 2.436760e+03
3.816500e+02 2.436760e+03
3.816000e+02 2.425800e+03
3.815500e+02 2.427968e+03
3.815000e+02 2.427968e+03
3.814500e+02 2.427968e+03
3.814000e+02 2.430135e+03
3.813500e+02 2.441648e+03
3.813000e+02 2.441648e+03
3.812500e+02 2.441648e+03
3.812000e+02 2.453160e+03
3.811500e+02 2.460858e+03
3.811000e+02 2.460858e+03
3.810500e+02 2.460858e+03
3.810000e+02 2.468557e+03
3.809500e+02 2.470685e+03
3.809000e+02 2.470685e+03
3.808500e+02 2.470685e+03
3.808000e+02 2.472813e+03
3.807500e+02 2.476532e+03
3.807000e+02 2.476532e+03
3.806500e+02 2.476532e+03
3.806000e+02 2.480250e+03
3.805500e+02 2.481418e+03
3.805000e+02 2.481418e+03
3.804500e+02 2.481418e+03
3.804000e+02 2.482585e+03
3.803500e+02 2.473319e+03
3.803000e+02 2.473319e+03
3.802500e+02 2.473319e+03
3.802000e+02 2.464052e+03
3.801500e+02 2.464536e+03
3.801000e+02 2.464536e+03
3.800500e+02 2.464536e+03
3.800000e+02 2.465020e+03
3.799500e+02 2.468417e+03
3.799000e+02 2.468417e+03
3.798500e+02 2.468417e+03
3.798000e+02 2.471813e+03
3.797500e+02 2.480628e+03
3.797000e+02 2.480628e+03
3.796500e+02 2.480628e+03
3.796000e+02 2.489443e+03
3.795500e+02 2.484724e+03
3.795000e+02 2.484724e+03
3.794500e+02 2.484724e+03
3.794000e+02 2.480005e+03
3.793500e+02 2.464821e+03
3.793000e+02 2.464821e+03
3.792500e+02 2.464821e+03
3.792000e+02 2.449637e+03
3.791500e+02 2.456620e+03
3.791000e+02 2.456620e+03
3.790500e+02 2.456620e+03
3.790000e+02 2.463603e+03
3.789500e+02 2.472939e+03
3.789000e+02 2.472939e+03
3.788500e+02 2.472939e+03
3.788000e+02 2.482275e+03
3.787500e+02 2.492600e+03
3.787000e+02 2.492600e+03
3.786500e+02 2.492600e+03
3.786000e+02 2.502925e+03
3.785500e+02 2.497823e+03
3.785000e+02 2.497823e+03
3.784500e+02 2.497823e+03
3.784000e+02 2.492720e+03
3.783500e+02 2.501472e+03
3.783000e+02 2.501472e+03
3.782500e+02 2.501472e+03
3.782000e+02 2.510225e+03
3.781500e+02 2.512387e+03
3.781000e+02 2.512387e+03
3.780500e+02 2.512387e+03
3.780000e+02 2.514550e+03
3.779500e+02 2.519075e+03
3.779000e+02 2.519075e+03
3.778500e+02 2.519075e+03
3.778000e+02 2.523600e+03
3.777500e+02 2.522387e+03
3.777000e+02 2.522387e+03
3.776500e+02 2.522387e+03
3.776000e+02 2.521175e+03
3.775500e+02 2.536163e+03
3.775000e+02 2.536163e+03
3.774500e+02 2.536163e+03
3.774000e+02 2.551150e+03
3.773500e+02 2.539238e+03
3.773000e+02 2.539238e+03
3.772500e+02 2.539238e+03
3.772000e+02 2.527325e+03
3.771500e+02 2.544162e+03
3.771000e+02 2.544162e+03
3.770500e+02 2.544162e+03
3.770000e+02 2.561000e+03
3.769500e+02 2.561375e+03
3.769000e+02 2.561375e+03
3.768500e+02 2.561375e+03
3.768000e+02 2.561750e+03
3.767500e+02 2.572725e+03
3.767000e+02 2.572725e+03
3.766500e+02 2.572725e+03
3.766000e+02 2.583700e+03
3.765500e+02 2.584938e+03
3.765000e+02 2.584938e+03
3.764500e+02 2.584938e+03
3.764000e+02 2.586175e+03
3.763500e+02 2.573213e+03
3.763000e+02 2.573213e+03
3.762500e+02 2.573213e+03
3.762000e+02 2.560250e+03
3.761500e+02 2.547150e+03
