Pd metal
3.500000e+02 3.030425e+03
3.499500e+02 3.057775e+03
3.499000e+02 3.057775e+03
3.498500e+02 3.057775e+03
3.498000e+02 3.085125e+03
3.497500e+02 3.099762e+03
3.497000e+02 3.099762e+03
3.496500e+02 3.099762e+03
3.496000e+02 3.114400e+03
3.495500e+02 3.138663e+03
3.495000e+02 3.138663e+03
3.494500e+02 3.138663e+03
3.494000e+02 3.162925e+03
3.493500e+02 3.186475e+03
3.493000e+02 3.186475e+03
3.492500e+02 3.186475e+03
3.492000e+02 3.210025e+03
3.491500e+02 3.228913e+03
3.491000e+02 3.228913e+03
3.490500e+02 3.228913e+03
3.490000e+02 3.247800e+03
3.489500e+02 3.282225e+03
3.489000e+02 3.282225e+03
3.488500e+02 3.282225e+03
3.488000e+02 3.316650e+03
3.487500e+02 3.340775e+03
3.487000e+02 3.340775e+03
3.486500e+02 3.340775e+03
3.486000e+02 3.364900e+03
3.485500e+02 3.385312e+03
3.485000e+02 3.385312e+03
3.484500e+02 3.385312e+03
3.484000e+02 3.405725e+03
3.483500e+02 3.438275e+03
3.483000e+02 3.438275e+03
3.482500e+02 3.438275e+03
3.482000e+02 3.470825e+03
3.481500e+02 3.516100e+03
3.481000e+02 3.516100e+03
3.480500e+02 3.516100e+03
3.480000e+02 3.561375e+03
3.479500e+02 3.562975e+03
3.479000e+02 3.562975e+03
3.478500e+02 3.562975e+03
3.478000e+02 3.564575e+03
3.477500e+02 3.601175e+03
3.477000e+02 3.601175e+03
3.476500e+02 3.601175e+03
3.476000e+02 3.637775e+03
3.475500e+02 3.678225e+03
3.475000e+02 3.678225e+03
3.474500e+02 3.678225e+03
3.474000e+02 3.718675e+03
3.473500e+02 3.752863e+03
3.473000e+02 3.752863e+03
3.472500e+02 3.752863e+03
3.472000e+02 3.787050e+03
3.471500e+02 3.839463e+03
3.471000e+02 3.839463e+03
3.470500e+02 3.839463e+03
3.470000e+02 3.891875e+03
3.469500e+02 3.917713e+03
3.469000e+02 3.917713e+03
3.468500e+02 3.917713e+03
3.468000e+02 3.943550e+03
3.467500e+02 3.947938e+03
3.467000e+02 3.947938e+03
3.466500e+02 3.947938e+03
3.466000e+02 3.952325e+03
3.465500e+02 3.945988e+03
3.465000e+02 3.945988e+03
3.464500e+02 3.945988e+03
3.464000e+02 3.939650e+03
3.463500e+02 3.883975e+03
3.463000e+02 3.883975e+03
3.462500e+02 3.883975e+03
3.462000e+02 3.828300e+03
3.461500e+02 3.774825e+03
3.461000e+02 3.774825e+03
3.460500e+02 3.774825e+03
3.460000e+02 3.721350e+03
3.459500e+02 3.678438e+03
3.459000e+02 3.678438e+03
3.458500e+02 3.678438e+03
3.458000e+02 3.635525e+03
3.457500e+02 3.600650e+03
3.457000e+02 3.600650e+03
3.456500e+02 3.600650e+03
3.456000e+02 3.565775e+03
3.455500e+02 3.561088e+03
3.455000e+02 3.561088e+03
3.454500e+02 3.561088e+03
3.454000e+02 3.556400e+03
3.453500e+02 3.548950e+03
3.453000e+02 3.548950e+03
3.452500e+02 3.548950e+03
3.452000e+02 3.541500e+03
3.451500e+02 3.540137e+03
3.451000e+02 3.540137e+03
3.450500e+02 3.540137e+03
3.450000e+02 3.538775e+03
3.449500e+02 3.565088e+03
3.449000e+02 3.565088e+03
3.448500e+02 3.565088e+03
3.448000e+02 3.591400e+03
3.447500e+02 3.650775e+03
3.447000e+02 3.650775e+03
3.446500e+02 3.650775e+03
3.446000e+02 3.710150e+03
3.445500e+02 3.730538e+03
3.445000e+02 3.730538e+03
3.444500e+02 3.730538e+03
3.444000e+02 3.750925e+03
3.443500e+02 3.826213e+03
3.443000e+02 3.826213e+03
3.442500e+02 3.826213e+03
3.442000e+02 3.901500e+03
3.441500e+02 3.929725e+03
3.441000e+02 3.929725e+03
3.440500e+02 3.929725e+03
3.440000e+02 3.957950e+03
3.439500e+002	4.028350e+003		
3.439000e+002	4.124650e+003		
3.438500e+002	4.109025e+003		
3.438000e+002	4.164950e+003		
3.437500e+002	4.210225e+003		
3.437000e+002	4.196450e+003		
3.436500e+002	4.268125e+003		
3.436000e+002	4.266625e+003		
3.435500e+002	4.305500e+003		
3.435000e+002	4.340400e+003		
3.434500e+002	4.385825e+003		
3.434000e+002	4.398900e+003		
3.433500e+002	4.408975e+003		
3.433000e+002	4.458675e+003		
3.432500e+002	4.514100e+003		
3.432000e+002	4.538250e+003		
3.431500e+002	4.608950e+003		
3.431000e+002	4.592625e+003		
3.430500e+002	4.680450e+003		
3.430000e+002	4.724075e+003		
3.429500e+002	4.787225e+003		
3.429000e+002	4.820775e+003		
3.428500e+002	4.821625e+003		
3.428000e+002	4.878800e+003		
3.427500e+002	4.969450e+003		
3.427000e+002	4.986525e+003		
3.426500e+002	5.078150e+003		
3.426000e+002	5.152800e+003		
3.425500e+002	5.191275e+003		
3.425000e+002	5.238700e+003		
3.424500e+002	5.365250e+003		
3.424000e+002	5.418200e+003		
3.423500e+002	5.484750e+003		
3.423000e+002	5.544900e+003		
3.422500e+002	5.729500e+003		
3.422000e+002	5.759250e+003		
3.421500e+002	5.863800e+003		
3.421000e+002	6.025025e+003		
3.420500e+002	6.109350e+003		
3.420000e+002	6.198675e+003		
3.419500e+002	6.354525e+003		
3.419000e+002	6.552250e+003		
3.418500e+002	6.717700e+003		
3.418000e+002	6.930475e+003		
3.417500e+002	7.069075e+003		
3.417000e+002	7.332550e+003		
3.416500e+002	7.554725e+003		
3.416000e+002	7.703150e+003		
3.415500e+002	7.994150e+003		
3.415000e+002	8.282175e+003		
3.414500e+002	8.621875e+003		
3.414000e+002	9.011450e+003		
3.413500e+002	9.368075e+003		
3.413000e+002	9.682975e+003		
3.412500e+002	1.011963e+004		
3.412000e+002	1.064138e+004		
3.411500e+002	1.113073e+004		
3.411000e+002	1.168878e+004		
3.410500e+002	1.225458e+004		
3.410000e+002	1.279498e+004		
3.409500e+002	1.333720e+004		
3.409000e+002	1.398250e+004		
3.408500e+002	1.468060e+004		
3.408000e+002	1.537373e+004		
3.407500e+002	1.588567e+004		
3.407000e+002	1.639203e+004		
3.406500e+002	1.692442e+004		
3.406000e+002	1.732275e+004		
3.405500e+002	1.769095e+004		
3.405000e+002	1.805345e+004		
3.404500e+002	1.818090e+004		
3.404000e+002	1.800250e+004		
3.403500e+002	1.765790e+004		
3.403000e+002	1.708595e+004		
3.402500e+002	1.615285e+004		
3.402000e+002	1.519813e+004		
3.401500e+002	1.381050e+004		
3.401000e+002	1.239663e+004		
3.400500e+002	1.105753e+004		
3.400000e+002	9.748600e+003		
3.399500e+002	8.526600e+003		
3.399000e+002	7.363625e+003		
3.398500e+002	6.422550e+003		
3.398000e+002	5.700100e+003		
3.397500e+002	5.145025e+003		
3.397000e+002	4.595650e+003		
3.396500e+002	4.227900e+003		
3.396000e+002	3.955175e+003		
3.395500e+002	3.779675e+003		
3.395000e+002	3.587400e+003		
3.394500e+002	3.447425e+003		
3.394000e+002	3.348100e+003		
3.393500e+002	3.247100e+003		
3.393000e+002	3.195750e+003		
3.392500e+002	3.105000e+003		
3.392000e+002	3.074200e+003		
3.391500e+002	3.008875e+003		
3.391000e+002	3.004350e+003		
3.390500e+002	2.977750e+003		
3.390000e+002	2.925675e+003		
3.389500e+002	2.966250e+003		
3.389000e+002	2.914675e+003		
3.388500e+002	2.915825e+003		
3.388000e+002	2.920275e+003		
3.387500e+002	2.900175e+003		
3.387000e+002	2.943025e+003		
3.386500e+002	2.940450e+003		
3.386000e+002	2.936975e+003		
3.385500e+002	2.931700e+003		
3.385000e+002	2.971850e+003		
3.384500e+002	2.952600e+003		
3.384000e+002	2.937250e+003		
3.383500e+002	3.018850e+003		
3.383000e+002	2.988200e+003		
3.382500e+002	3.006550e+003		
3.382000e+002	3.048125e+003		
3.381500e+002	3.000750e+003		
3.381000e+002	3.064525e+003		
3.380500e+002	3.090800e+003		
3.380000e+002	3.094550e+003		
3.379500e+002	3.190625e+003		
3.379000e+002	3.185150e+003		
3.378500e+002	3.219175e+003		
3.378000e+002	3.219325e+003		
3.377500e+002	3.277400e+003		
3.377000e+002	3.269950e+003		
3.376500e+002	3.341225e+003		
3.376000e+002	3.398200e+003		
3.375500e+002	3.418375e+003		
3.375000e+002	3.446200e+003		
3.374500e+002	3.499675e+003		
3.374000e+002	3.550400e+003		
3.373500e+002	3.662850e+003		
3.373000e+002	3.771450e+003		
3.372500e+002	3.798175e+003		
3.372000e+002	3.886875e+003		
3.371500e+002	3.924425e+003		
3.371000e+002	4.018200e+003		
3.370500e+002	4.103700e+003		
3.370000e+002	4.277950e+003		
3.369500e+002	4.385300e+003		
3.369000e+002	4.486825e+003		
3.368500e+002	4.622375e+003		
3.368000e+002	4.747075e+003		
3.367500e+002	4.939200e+003		
3.367000e+002	5.123850e+003		
3.366500e+002	5.367650e+003		
3.366000e+002	5.606900e+003		
3.365500e+002	5.851725e+003		
3.365000e+002	6.051075e+003		
3.364500e+002	6.353175e+003		
3.364000e+002	6.758350e+003		
3.363500e+002	7.038450e+003		
3.363000e+002	7.449700e+003		
3.362500e+002	7.922150e+003		
3.362000e+002	8.467600e+003		
3.361500e+002	8.841700e+003		
3.361000e+002	9.472275e+003		
3.360500e+002	1.011105e+004		
3.360000e+002	1.078913e+004		
3.359500e+002	1.154538e+004		
3.359000e+002	1.229550e+004		
3.358500e+002	1.319050e+004		
3.358000e+002	1.406908e+004		
3.357500e+002	1.497975e+004		
3.357000e+002	1.603188e+004		
3.356500e+002	1.701580e+004		
3.356000e+002	1.797915e+004		
3.355500e+002	1.901825e+004		
3.355000e+002	2.004288e+004		
3.354500e+002	2.098083e+004		
3.354000e+002	2.184333e+004		
3.353500e+002	2.265978e+004		
3.353000e+002	2.329255e+004		
3.352500e+002	2.400830e+004		
3.352000e+002	2.425213e+004		
3.351500e+002	2.413113e+004		
3.351000e+002	2.390558e+004		
3.350500e+002	2.326510e+004		
3.350000e+002	2.199585e+004		
3.349500e+002	2.060092e+004		
3.349000e+002	1.872908e+004		
3.348500e+002	1.664333e+004		
3.348000e+002	1.435895e+004		
3.347500e+002	1.212235e+004		
3.347000e+002	1.011233e+004		
3.346500e+002	8.266550e+003		
3.346000e+002	6.671325e+003		
3.345500e+002	5.460700e+003		
3.345000e+002	4.433000e+003		
3.344500e+002	3.677225e+003		
3.344000e+002	3.075500e+003		
3.343500e+002	2.612775e+003		
3.343000e+002	2.279528e+003		
3.342500e+002	2.031795e+003		
3.342000e+002	1.814797e+003		
3.341500e+002	1.640198e+003		
3.341000e+002	1.484160e+003		
3.340500e+002	1.383783e+003		
3.340000e+002	1.270040e+003		
3.339500e+002	1.210547e+003		
3.339000e+002	1.128358e+003		
3.338500e+002	1.072885e+003		
3.338000e+002	1.033435e+003		
3.337500e+002	9.876800e+002		
3.337000e+002	9.114800e+002		
3.336500e+002	8.777200e+002		
3.336000e+002	8.436925e+002		
3.335500e+002	8.354050e+002		
3.335000e+002	8.065975e+002		
3.334500e+002	7.844300e+002		
3.334000e+002	7.519275e+002		
3.333500e+002	7.133575e+002		
3.333000e+002	7.040450e+002		
3.332500e+002	7.043500e+002		
3.332000e+002	7.022925e+002		
3.331500e+002	6.946950e+002		
3.331000e+002	6.504025e+002		
3.330500e+002	6.242175e+002		
3.330000e+002	6.309700e+002		
3.329500e+002	6.201650e+002		
3.329000e+002	5.863125e+002		
3.328500e+002	6.053975e+002		
3.328000e+002	6.068300e+002		
3.327500e+002	5.860225e+002		
3.327000e+002	5.741250e+002		
3.326500e+002	5.687900e+002		
3.326000e+002	5.608300e+002		
3.325500e+002	5.469950e+002		
3.325000e+002	5.323300e+002		
3.324500e+002	5.347450e+002		
3.324000e+002	5.188250e+002		
3.323500e+002	5.215700e+002		
3.323000e+002	5.261850e+002		
3.322500e+002	5.206075e+002		
3.322000e+002	5.240350e+002		
3.321500e+002	5.153925e+002		
3.321000e+002	5.035050e+002		
3.320500e+002	5.001150e+002		
3.320000e+002	4.877525e+002		
3.319500e+002	4.865475e+002		
3.319000e+002	4.909225e+002		
3.318500e+002	4.967050e+002		
3.318000e+002	4.902750e+002		
3.317500e+002	4.718075e+002		
3.317000e+002	4.683025e+002		
3.316500e+002	4.744275e+002		
3.316000e+002	4.619100e+002		
3.315500e+002	4.576775e+002		
3.315000e+002	4.610175e+002		
3.314500e+002	4.512975e+002		
3.314000e+002	4.475725e+002		
3.313500e+002	4.625825e+002		
3.313000e+002	4.511950e+002		
3.312500e+002	4.520850e+002		
3.312000e+002	4.372500e+002		
3.311500e+002	4.432050e+002		
3.311000e+002	4.540500e+002		
3.310500e+002	4.426950e+002		
3.310000e+002	4.309875e+002
