Ti2p TiO
4.990000e+02 4.212940e+02
4.989500e+02 4.307210e+02
4.989000e+02 4.401480e+02
4.988500e+02 4.418380e+02
4.988000e+02 4.435280e+02
4.987500e+02 4.371830e+02
4.987000e+02 4.308380e+02
4.986500e+02 4.382885e+02
4.986000e+02 4.457390e+02
4.985500e+02 4.348820e+02
4.985000e+02 4.240250e+02
4.984500e+02 4.290775e+02
4.984000e+02 4.341300e+02
4.983500e+02 4.264610e+02
4.983000e+02 4.187920e+02
4.982500e+02 4.234705e+02
4.982000e+02 4.281490e+02
4.981500e+02 4.414400e+02
4.981000e+02 4.547310e+02
4.980500e+02 4.473340e+02
4.980000e+02 4.399370e+02
4.979500e+02 4.400105e+02
4.979000e+02 4.400840e+02
4.978500e+02 4.362340e+02
4.978000e+02 4.323840e+02
4.977500e+02 4.323440e+02
4.977000e+02 4.323040e+02
4.976500e+02 4.364725e+02
4.976000e+02 4.406410e+02
4.975500e+02 4.437445e+02
4.975000e+02 4.468480e+02
4.974500e+02 4.365945e+02
4.974000e+02 4.263410e+02
4.973500e+02 4.268855e+02
4.973000e+02 4.274300e+02
4.972500e+02 4.303190e+02
4.972000e+02 4.332080e+02
4.971500e+02 4.290415e+02
4.971000e+02 4.248750e+02
4.970500e+02 4.284645e+02
4.970000e+02 4.320540e+02
4.969500e+02 4.261545e+02
4.969000e+02 4.202550e+02
4.968500e+02 4.282215e+02
4.968000e+02 4.361880e+02
4.967500e+02 4.368810e+02
4.967000e+02 4.375740e+02
4.966500e+02 4.402415e+02
4.966000e+02 4.429090e+02
4.965500e+02 4.403195e+02
4.965000e+02 4.377300e+02
4.964500e+02 4.298365e+02
4.964000e+02 4.219430e+02
4.963500e+02 4.172280e+02
4.963000e+02 4.125130e+02
4.962500e+02 4.242020e+02
4.962000e+02 4.358910e+02
4.961500e+02 4.336010e+02
4.961000e+02 4.313110e+02
4.960500e+02 4.320455e+02
4.960000e+02 4.327800e+02
4.959500e+02 4.331760e+02
4.959000e+02 4.335720e+02
4.958500e+02 4.258800e+02
4.958000e+02 4.181880e+02
4.957500e+02 4.140260e+02
4.957000e+02 4.098640e+02
4.956500e+02 4.159745e+02
4.956000e+02 4.220850e+02
4.955500e+02 4.241290e+02
4.955000e+02 4.261730e+02
4.954500e+02 4.352220e+02
4.954000e+02 4.442710e+02
4.953500e+02 4.295055e+02
4.953000e+02 4.147400e+02
4.952500e+02 4.254755e+02
4.952000e+02 4.362110e+02
4.951500e+02 4.313255e+02
4.951000e+02 4.264400e+02
4.950500e+02 4.245350e+02
4.950000e+02 4.226300e+02
4.949500e+02 4.211760e+02
4.949000e+02 4.197220e+02
4.948500e+02 4.265300e+02
4.948000e+02 4.333380e+02
4.947500e+02 4.350670e+02
4.947000e+02 4.367960e+02
4.946500e+02 4.368205e+02
4.946000e+02 4.368450e+02
4.945500e+02 4.335545e+02
4.945000e+02 4.302640e+02
4.944500e+02 4.198060e+02
4.944000e+02 4.093480e+02
4.943500e+02 4.089350e+02
4.943000e+02 4.085220e+02
4.942500e+02 4.232450e+02
4.942000e+02 4.379680e+02
4.941500e+02 4.417595e+02
4.941000e+02 4.455510e+02
4.940500e+02 4.421285e+02
4.940000e+02 4.387060e+02
4.939500e+02 4.405035e+02
4.939000e+02 4.423010e+02
4.938500e+02 4.394275e+02
4.938000e+02 4.365540e+02
4.937500e+02 4.321545e+02
4.937000e+02 4.277550e+02
4.936500e+02 4.362930e+02
4.936000e+02 4.448310e+02
4.935500e+02 4.505960e+02
4.935000e+02 4.563610e+02
4.934500e+02 4.479130e+02
4.934000e+02 4.394650e+02
4.933500e+02 4.448440e+02
4.933000e+02 4.502230e+02
4.932500e+02 4.471250e+02
4.932000e+02 4.440270e+02
4.931500e+02 4.403185e+02
4.931000e+02 4.366100e+02
4.930500e+02 4.394660e+02
4.930000e+02 4.423220e+02
4.929500e+02 4.455810e+02
4.929000e+02 4.488400e+02
4.928500e+02 4.459260e+02
4.928000e+02 4.430120e+02
4.927500e+02 4.452885e+02
4.927000e+02 4.475650e+02
4.926500e+02 4.450340e+02
4.926000e+02 4.425030e+02
4.925500e+02 4.370670e+02
4.925000e+02 4.316310e+02
4.924500e+02 4.367790e+02
4.924000e+02 4.419270e+02
4.923500e+02 4.406620e+02
4.923000e+02 4.393970e+02
4.922500e+02 4.428050e+02
4.922000e+02 4.462130e+02
4.921500e+02 4.414250e+02
4.921000e+02 4.366370e+02
4.920500e+02 4.340080e+02
4.920000e+02 4.313790e+02
4.919500e+02 4.353810e+02
4.919000e+02 4.393830e+02
4.918500e+02 4.386480e+02
4.918000e+02 4.379130e+02
4.917500e+02 4.374970e+02
4.917000e+02 4.370810e+02
4.916500e+02 4.442185e+02
4.916000e+02 4.513560e+02
4.915500e+02 4.466715e+02
4.915000e+02 4.419870e+02
4.914500e+02 4.379845e+02
4.914000e+02 4.339820e+02
4.913500e+02 4.348700e+02
4.913000e+02 4.357580e+02
4.912500e+02 4.370615e+02
4.912000e+02 4.383650e+02
4.911500e+02 4.393070e+02
4.911000e+02 4.402490e+02
4.910500e+02 4.407880e+02
4.910000e+02 4.413270e+02
4.909500e+02 4.557640e+02
4.909000e+02 4.702010e+02
4.908500e+02 4.659410e+02
4.908000e+02 4.616810e+02
4.907500e+02 4.634070e+02
4.907000e+02 4.651330e+02
4.906500e+02 4.611500e+02
4.906000e+02 4.571670e+02
4.905500e+02 4.547945e+02
4.905000e+02 4.524220e+02
4.904500e+02 4.516210e+02
4.904000e+02 4.508200e+02
4.903500e+02 4.579530e+02
4.903000e+02 4.650860e+02
4.902500e+02 4.631610e+02
4.902000e+02 4.612360e+02
4.901500e+02 4.602000e+02
4.901000e+02 4.591640e+02
4.900500e+02 4.532545e+02
4.900000e+02 4.473450e+02
4.899500e+02 4.483015e+02
4.899000e+02 4.492580e+02
4.898500e+02 4.544240e+02
4.898000e+02 4.595900e+02
4.897500e+02 4.590595e+02
4.897000e+02 4.585290e+02
4.896500e+02 4.658495e+02
4.896000e+02 4.731700e+02
4.895500e+02 4.751905e+02
4.895000e+02 4.772110e+02
4.894500e+02 4.682685e+02
4.894000e+02 4.593260e+02
4.893500e+02 4.596795e+02
4.893000e+02 4.600330e+02
4.892500e+02 4.598305e+02
4.892000e+02 4.596280e+02
4.891500e+02 4.524325e+02
4.891000e+02 4.452370e+02
4.890500e+02 4.490685e+02
4.890000e+02 4.529000e+02
4.889500e+02 4.578015e+02
4.889000e+02 4.627030e+02
4.888500e+02 4.609935e+02
4.888000e+02 4.592840e+02
4.887500e+02 4.555780e+02
4.887000e+02 4.518720e+02
4.886500e+02 4.540910e+02
4.886000e+02 4.563100e+02
4.885500e+02 4.627355e+02
4.885000e+02 4.691610e+02
4.884500e+02 4.683975e+02
4.884000e+02 4.676340e+02
4.883500e+02 4.715480e+02
4.883000e+02 4.754620e+02
4.882500e+02 4.749280e+02
4.882000e+02 4.743940e+02
4.881500e+02 4.655085e+02
4.881000e+02 4.566230e+02
4.880500e+02 4.633020e+02
4.880000e+02 4.699810e+02
4.879500e+02 4.752780e+02
4.879000e+02 4.805750e+02
4.878500e+02 4.842400e+02
4.878000e+02 4.879050e+02
4.877500e+02 4.820075e+02
4.877000e+02 4.761100e+02
4.876500e+02 4.740945e+02
4.876000e+02 4.720790e+02
4.875500e+02 4.804840e+02
4.875000e+02 4.888890e+02
4.874500e+02 4.856385e+02
4.874000e+02 4.823880e+02
4.873500e+02 4.778740e+02
4.873000e+02 4.733600e+02
4.872500e+02 4.794290e+02
4.872000e+02 4.854980e+02
4.871500e+02 4.877425e+02
4.871000e+02 4.899870e+02
4.870500e+02 4.881370e+02
4.870000e+02 4.862870e+02
4.869500e+02 4.931380e+02
4.869000e+02 4.999890e+02
4.868500e+02 4.996570e+02
4.868000e+02 4.993250e+02
4.867500e+02 5.015860e+02
4.867000e+02 5.038470e+02
4.866500e+02 4.998470e+02
4.866000e+02 4.958470e+02
4.865500e+02 4.840760e+02
4.865000e+02 4.723050e+02
4.864500e+02 4.839955e+02
4.864000e+02 4.956860e+02
4.863500e+02 4.830700e+02
4.863000e+02 4.704540e+02
4.862500e+02 4.636770e+02
4.862000e+02 4.569000e+02
4.861500e+02 4.635000e+02
4.861000e+02 4.701000e+02
4.860500e+02 4.736275e+02
4.860000e+02 4.771550e+02
4.859500e+02 4.828605e+02
4.859000e+02 4.885660e+02
4.858500e+02 4.949685e+02
4.858000e+02 5.013710e+02
4.857500e+02 4.943130e+02
4.857000e+02 4.872550e+02
4.856500e+02 4.891435e+02
4.856000e+02 4.910320e+02
4.855500e+02 4.883820e+02
4.855000e+02 4.857320e+02
4.854500e+02 4.951005e+02
4.854000e+02 5.044690e+02
4.853500e+02 5.017200e+02
4.853000e+02 4.989710e+02
4.852500e+02 4.932680e+02
4.852000e+02 4.875650e+02
4.851500e+02 4.914260e+02
4.851000e+02 4.952870e+02
4.850500e+02 4.936550e+02
4.850000e+02 4.920230e+02
4.849500e+02 5.038870e+02
4.849000e+02 5.157510e+02
4.848500e+02 5.199115e+02
4.848000e+02 5.240720e+02
