Ti metal
4.990000e+02 1.308490e+03
4.989500e+02 1.308490e+03
4.989000e+02 1.302975e+03
4.988500e+02 1.297460e+03
4.988000e+02 1.331775e+03
4.987500e+02 1.366090e+03
4.987000e+02 1.391815e+03
4.986500e+02 1.417540e+03
4.986000e+02 1.423550e+03
4.985500e+02 1.429560e+03
4.985000e+02 1.383995e+03
4.984500e+02 1.338430e+03
4.984000e+02 1.322890e+03
4.983500e+02 1.307350e+03
4.983000e+02 1.319225e+03
4.982500e+02 1.331100e+03
4.982000e+02 1.336935e+03
4.981500e+02 1.342770e+03
4.981000e+02 1.347820e+03
4.980500e+02 1.352870e+03
4.980000e+02 1.343515e+03
4.979500e+02 1.334160e+03
4.979000e+02 1.328245e+03
4.978500e+02 1.322330e+03
4.978000e+02 1.329185e+03
4.977500e+02 1.336040e+03
4.977000e+02 1.336645e+03
4.976500e+02 1.337250e+03
4.976000e+02 1.314470e+03
4.975500e+02 1.291690e+03
4.975000e+02 1.311555e+03
4.974500e+02 1.331420e+03
4.974000e+02 1.346890e+03
4.973500e+02 1.362360e+03
4.973000e+02 1.365045e+03
4.972500e+02 1.367730e+03
4.972000e+02 1.344750e+03
4.971500e+02 1.321770e+03
4.971000e+02 1.326480e+03
4.970500e+02 1.331190e+03
4.970000e+02 1.334390e+03
4.969500e+02 1.337590e+03
4.969000e+02 1.345980e+03
4.968500e+02 1.354370e+03
4.968000e+02 1.345890e+03
4.967500e+02 1.337410e+03
4.967000e+02 1.375995e+03
4.966500e+02 1.414580e+03
4.966000e+02 1.395030e+03
4.965500e+02 1.375480e+03
4.965000e+02 1.352710e+03
4.964500e+02 1.329940e+03
4.964000e+02 1.335210e+03
4.963500e+02 1.340480e+03
4.963000e+02 1.320070e+03
4.962500e+02 1.299660e+03
4.962000e+02 1.314570e+03
4.961500e+02 1.329480e+03
4.961000e+02 1.332915e+03
4.960500e+02 1.336350e+03
4.960000e+02 1.355275e+03
4.959500e+02 1.374200e+03
4.959000e+02 1.351625e+03
4.958500e+02 1.329050e+03
4.958000e+02 1.346825e+03
4.957500e+02 1.364600e+03
4.957000e+02 1.320185e+03
4.956500e+02 1.275770e+03
4.956000e+02 1.339740e+03
4.955500e+02 1.403710e+03
4.955000e+02 1.397470e+03
4.954500e+02 1.391230e+03
4.954000e+02 1.388585e+03
4.953500e+02 1.385940e+03
4.953000e+02 1.397440e+03
4.952500e+02 1.408940e+03
