Co2pFe2p Co3O4
8.400000e+02 1.624770e+04
8.399500e+02 1.624770e+04
8.399000e+02 1.633050e+04
8.398500e+02 1.633050e+04
8.398000e+02 1.635643e+04
8.397500e+02 1.635643e+04
8.397000e+02 1.638027e+04
8.396500e+02 1.638027e+04
8.396000e+02 1.641050e+04
8.395500e+02 1.641050e+04
8.395000e+02 1.632640e+04
8.394500e+02 1.632640e+04
8.394000e+02 1.635667e+04
8.393500e+02 1.635667e+04
8.393000e+02 1.642730e+04
8.392500e+02 1.642730e+04
8.392000e+02 1.642460e+04
8.391500e+02 1.642460e+04
8.391000e+02 1.649167e+04
8.390500e+02 1.649167e+04
8.390000e+02 1.643783e+04
8.389500e+02 1.643783e+04
8.389000e+02 1.637897e+04
8.388500e+02 1.637897e+04
8.388000e+02 1.643697e+04
8.387500e+02 1.643697e+04
8.387000e+02 1.645337e+04
8.386500e+02 1.645337e+04
8.386000e+02 1.644410e+04
8.385500e+02 1.644410e+04
8.385000e+02 1.645187e+04
8.384500e+02 1.645187e+04
8.384000e+02 1.641023e+04
8.383500e+02 1.641023e+04
8.383000e+02 1.636570e+04
8.382500e+02 1.636570e+04
8.382000e+02 1.643670e+04
8.381500e+02 1.643670e+04
8.381000e+02 1.644343e+04
8.380500e+02 1.644343e+04
8.380000e+02 1.640363e+04
8.379500e+02 1.640363e+04
8.379000e+02 1.634910e+04
8.378500e+02 1.634910e+04
8.378000e+02 1.642860e+04
8.377500e+02 1.642860e+04
8.377000e+02 1.638900e+04
8.376500e+02 1.638900e+04
8.376000e+02 1.638257e+04
8.375500e+02 1.638257e+04
8.375000e+02 1.640960e+04
8.374500e+02 1.640960e+04
8.374000e+02 1.639417e+04
8.373500e+02 1.639417e+04
8.373000e+02 1.639333e+04
8.372500e+02 1.639333e+04
8.372000e+02 1.635097e+04
8.371500e+02 1.635097e+04
8.371000e+02 1.636933e+04
8.370500e+02 1.636933e+04
8.370000e+02 1.631273e+04
8.369500e+02 1.631273e+04
8.369000e+02 1.630107e+04
8.368500e+02 1.630107e+04
8.368000e+02 1.638993e+04
8.367500e+02 1.638993e+04
8.367000e+02 1.636427e+04
8.366500e+02 1.636427e+04
8.366000e+02 1.632353e+04
8.365500e+02 1.632353e+04
8.365000e+02 1.633450e+04
8.364500e+02 1.633450e+04
8.364000e+02 1.627320e+04
8.363500e+02 1.627320e+04
8.363000e+02 1.626193e+04
8.362500e+02 1.626193e+04
8.362000e+02 1.624860e+04
8.361500e+02 1.624860e+04
8.361000e+02 1.622963e+04
8.360500e+02 1.622963e+04
8.360000e+02 1.619980e+04
8.359500e+02 1.619980e+04
8.359000e+02 1.624210e+04
8.358500e+02 1.624210e+04
8.358000e+02 1.625280e+04
8.357500e+02 1.625280e+04
8.357000e+02 1.619803e+04
8.356500e+02 1.619803e+04
8.356000e+02 1.618793e+04
8.355500e+02 1.618793e+04
