Co2pFe2p FeO
8.400000e+02 8.267033e+03
8.399500e+02 8.267033e+03
8.399000e+02 8.185767e+03
8.398500e+02 8.185767e+03
8.398000e+02 8.174700e+03
8.397500e+02 8.174700e+03
8.397000e+02 8.153933e+03
8.396500e+02 8.153933e+03
8.396000e+02 8.185500e+03
8.395500e+02 8.185500e+03
8.395000e+02 8.155600e+03
8.394500e+02 8.155600e+03
8.394000e+02 8.136667e+03
8.393500e+02 8.136667e+03
8.393000e+02 8.086200e+03
8.392500e+02 8.086200e+03
8.392000e+02 8.123233e+03
8.391500e+02 8.123233e+03
8.391000e+02 8.111333e+03
8.390500e+02 8.111333e+03
8.390000e+02 8.091433e+03
8.389500e+02 8.091433e+03
8.389000e+02 8.064800e+03
8.388500e+02 8.064800e+03
8.388000e+02 7.996800e+03
8.387500e+02 7.996800e+03
8.387000e+02 8.025367e+03
8.386500e+02 8.025367e+03
8.386000e+02 7.975633e+03
8.385500e+02 7.975633e+03
8.385000e+02 7.964533e+03
8.384500e+02 7.964533e+03
8.384000e+02 7.999233e+03
8.383500e+02 7.999233e+03
8.383000e+02 7.940500e+03
8.382500e+02 7.940500e+03
8.382000e+02 7.914333e+03
8.381500e+02 7.914333e+03
8.381000e+02 7.912867e+03
8.380500e+02 7.912867e+03
8.380000e+02 7.971000e+03
8.379500e+02 7.971000e+03
8.379000e+02 7.936967e+03
8.378500e+02 7.936967e+03
8.378000e+02 7.893267e+03
8.377500e+02 7.893267e+03
8.377000e+02 7.976733e+03
8.376500e+02 7.976733e+03
8.376000e+02 7.898333e+03
8.375500e+02 7.898333e+03
8.375000e+02 7.913267e+03
8.374500e+02 7.913267e+03
8.374000e+02 7.884333e+03
8.373500e+02 7.884333e+03
8.373000e+02 7.851933e+03
8.372500e+02 7.851933e+03
8.372000e+02 7.856367e+03
8.371500e+02 7.856367e+03
8.371000e+02 7.859600e+03
8.370500e+02 7.859600e+03
8.370000e+02 7.797867e+03
8.369500e+02 7.797867e+03
8.369000e+02 7.778167e+03
8.368500e+02 7.778167e+03
8.368000e+02 7.765933e+03
8.367500e+02 7.765933e+03
8.367000e+02 7.807600e+03
8.366500e+02 7.807600e+03
8.366000e+02 7.756533e+03
8.365500e+02 7.756533e+03
8.365000e+02 7.798033e+03
8.364500e+02 7.798033e+03
8.364000e+02 7.805667e+03
8.363500e+02 7.805667e+03
8.363000e+02 7.721700e+03
8.362500e+02 7.721700e+03
8.362000e+02 7.699267e+03
