Ni2pCo2pFe2p CoO
8.900000e+02 1.571807e+04
8.899000e+02 1.577407e+04
8.898000e+02 1.579867e+04
8.897000e+02 1.583097e+04
8.896000e+02 1.586983e+04
8.895000e+02 1.584930e+04
8.894000e+02 1.580833e+04
8.893000e+02 1.583737e+04
8.892000e+02 1.583827e+04
8.891000e+02 1.583663e+04
8.890000e+02 1.587713e+04
8.889000e+02 1.584177e+04
8.888000e+02 1.585860e+04
8.887000e+02 1.591980e+04
8.886000e+02 1.593110e+04
8.885000e+02 1.590727e+04
8.884000e+02 1.578653e+04
8.883000e+02 1.586823e+04
8.882000e+02 1.582153e+04
8.881000e+02 1.589930e+04
8.880000e+02 1.606840e+04
8.879000e+02 1.601367e+04
8.878000e+02 1.597307e+04
8.877000e+02 1.605057e+04
8.876000e+02 1.601913e+04
8.875000e+02 1.607470e+04
8.874000e+02 1.603240e+04
8.873000e+02 1.598033e+04
8.872000e+02 1.598047e+04
8.871000e+02 1.603363e+04
8.870000e+02 1.603770e+04
8.869000e+02 1.604800e+04
8.868000e+02 1.606907e+04
8.867000e+02 1.611737e+04
8.866000e+02 1.616770e+04
8.865000e+02 1.609700e+04
8.864000e+02 1.611327e+04
8.863000e+02 1.610807e+04
8.862000e+02 1.612020e+04
8.861000e+02 1.610477e+04
8.860000e+02 1.612817e+04
8.859000e+02 1.609260e+04
8.858000e+02 1.606243e+04
8.857000e+02 1.613290e+04
8.856000e+02 1.619293e+04
8.855000e+02 1.621723e+04
8.854000e+02 1.621393e+04
8.853000e+02 1.621843e+04
8.852000e+02 1.619760e+04
8.851000e+02 1.620040e+04
8.850000e+02 1.620167e+04
8.849000e+02 1.623730e+04
8.848000e+02 1.625013e+04
8.847000e+02 1.613550e+04
8.846000e+02 1.616890e+04
8.845000e+02 1.626760e+04
8.844000e+02 1.625843e+04
8.843000e+02 1.627587e+04
8.842000e+02 1.620543e+04
8.841000e+02 1.628703e+04
8.840000e+02 1.618367e+04
8.839000e+02 1.627993e+04
8.838000e+02 1.624810e+04
