Ni2pCo2pFe2p Fe3O4
8.900000e+02 9.708533e+03
8.899000e+02 9.629800e+03
8.898000e+02 9.619300e+03
8.897000e+02 9.540033e+03
8.896000e+02 9.602233e+03
8.895000e+02 9.652133e+03
8.894000e+02 9.576067e+03
8.893000e+02 9.531300e+03
8.892000e+02 9.631100e+03
8.891000e+02 9.576600e+03
8.890000e+02 9.527967e+03
8.889000e+02 9.493967e+03
8.888000e+02 9.485433e+03
8.887000e+02 9.436167e+03
8.886000e+02 9.353733e+03
8.885000e+02 9.364033e+03
8.884000e+02 9.351267e+03
8.883000e+02 9.331767e+03
8.882000e+02 9.279433e+03
8.881000e+02 9.129667e+03
8.880000e+02 9.175867e+03
8.879000e+02 9.200867e+03
8.878000e+02 9.083433e+03
8.877000e+02 9.044933e+03
8.876000e+02 9.041567e+03
8.875000e+02 8.932933e+03
8.874000e+02 8.863433e+03
8.873000e+02 8.883767e+03
8.872000e+02 8.800067e+03
8.871000e+02 8.636067e+03
8.870000e+02 8.544900e+03
8.869000e+02 8.592467e+03
8.868000e+02 8.580367e+03
8.867000e+02 8.552433e+03
8.866000e+02 8.473867e+03
8.865000e+02 8.484500e+03
8.864000e+02 8.394267e+03
8.863000e+02 8.418533e+03
8.862000e+02 8.342933e+03
8.861000e+02 8.263667e+03
8.860000e+02 8.227800e+03
8.859000e+02 8.197400e+03
8.858000e+02 8.153233e+03
8.857000e+02 8.139000e+03
8.856000e+02 8.156167e+03
8.855000e+02 8.186367e+03
8.854000e+02 8.032967e+03
8.853000e+02 8.100267e+03
8.852000e+02 8.090800e+03
8.851000e+02 8.072667e+03
8.850000e+02 8.158367e+03
8.849000e+02 8.052100e+03
8.848000e+02 8.169733e+03
8.847000e+02 8.133567e+03
8.846000e+02 8.053067e+03
8.845000e+02 7.955133e+03
8.844000e+02 7.948800e+03
8.843000e+02 8.050000e+03
8.842000e+02 8.132033e+03
8.841000e+02 8.017333e+03
8.840000e+02 7.969967e+03
8.839000e+02 7.963433e+03
8.838000e+02 7.982567e+03
8.837000e+02 7.920167e+03
8.836000e+02 7.945467e+03
8.835000e+02 8.012233e+03
8.834000e+02 7.909167e+03
8.833000e+02 7.923333e+03
8.832000e+02 7.934567e+03
8.831000e+02 7.916033e+03
8.830000e+02 7.948033e+03
8.829000e+02 7.963867e+03
8.828000e+02 7.846633e+03
8.827000e+02 7.850300e+03
8.826000e+02 7.909167e+03
8.825000e+02 7.979633e+03
8.824000e+02 7.931867e+03
8.823000e+02 7.845267e+03
8.822000e+02 7.951667e+03
8.821000e+02 7.892767e+03
8.820000e+02 7.829733e+03
8.819000e+02 7.884367e+03
8.818000e+02 7.879900e+03
8.817000e+02 7.901200e+03
8.816000e+02 7.940467e+03
8.815000e+02 7.915933e+03
8.814000e+02 7.896167e+03
8.813000e+02 7.941700e+03
8.812000e+02 7.882733e+03
8.811000e+02 7.884133e+03
8.810000e+02 7.869967e+03
8.809000e+02 7.888667e+03
8.808000e+02 7.951300e+03
8.807000e+02 7.918533e+03
8.806000e+02 7.943900e+03
8.805000e+02 7.938167e+03
8.804000e+02 7.921500e+03
8.803000e+02 7.937100e+03
8.802000e+02 7.870700e+03
8.801000e+02 7.876633e+03
8.800000e+02 7.923567e+03
8.799000e+02 7.888467e+03
8.798000e+02 7.884700e+03
8.797000e+02 7.907200e+03
8.796000e+02 7.800167e+03
8.795000e+02 7.776067e+03
8.794000e+02 7.858467e+03
8.793000e+02 7.891900e+03
8.792000e+02 7.894167e+03
8.791000e+02 7.901433e+03
8.790000e+02 7.879100e+03
8.789000e+02 7.783700e+03
8.788000e+02 7.853600e+03
8.787000e+02 7.903100e+03
8.786000e+02 8.001767e+03
8.785000e+02 7.908367e+03
8.784000e+02 7.858333e+03
8.783000e+02 7.935000e+03
8.782000e+02 7.934733e+03
8.781000e+02 7.959433e+03
8.780000e+02 7.870400e+03
8.779000e+02 7.816367e+03
8.778000e+02 7.883267e+03
8.777000e+02 7.848133e+03
8.776000e+02 7.856133e+03
8.775000e+02 7.927700e+03
8.774000e+02 7.926367e+03
8.773000e+02 7.927133e+03
8.772000e+02 7.931767e+03
8.771000e+02 7.886600e+03
8.770000e+02 7.822200e+03
8.769000e+02 7.862567e+03
8.768000e+02 7.861300e+03
8.767000e+02 7.893733e+03
8.766000e+02 7.829367e+03
8.765000e+02 7.791033e+03
8.764000e+02 7.709500e+03
8.763000e+02 7.809000e+03
8.762000e+02 7.855200e+03
8.761000e+02 7.864400e+03
8.760000e+02 7.788033e+03
8.759000e+02 7.783400e+03
8.758000e+02 7.809800e+03
8.757000e+02 7.822867e+03
8.756000e+02 7.850400e+03
8.755000e+02 7.792967e+03
8.754000e+02 7.766300e+03
8.753000e+02 7.717000e+03
8.752000e+02 7.792133e+03
8.751000e+02 7.803733e+03
8.750000e+02 7.774700e+03
8.749000e+02 7.694833e+03
8.748000e+02 7.770733e+03
8.747000e+02 7.769733e+03
8.746000e+02 7.714933e+03
8.745000e+02 7.789000e+03
8.744000e+02 7.812933e+03
8.743000e+02 7.643833e+03
8.742000e+02 7.686700e+03
8.741000e+02 7.748067e+03
8.740000e+02 7.773400e+03
8.739000e+02 7.745900e+03
8.738000e+02 7.742633e+03
8.737000e+02 7.709933e+03
8.736000e+02 7.667700e+03
8.735000e+02 7.614833e+03
8.734000e+02 7.613633e+03
8.733000e+02 7.599867e+03
8.732000e+02 7.677600e+03
8.731000e+02 7.661733e+03
8.730000e+02 7.683667e+03
8.729000e+02 7.644233e+03
8.728000e+02 7.673333e+03
8.727000e+02 7.600133e+03
8.726000e+02 7.685300e+03
8.725000e+02 7.694367e+03
8.724000e+02 7.617367e+03
8.723000e+02 7.673900e+03
8.722000e+02 7.727200e+03
8.721000e+02 7.656667e+03
8.720000e+02 7.631067e+03
8.719000e+02 7.584867e+03
8.718000e+02 7.740500e+03
8.717000e+02 7.667167e+03
8.716000e+02 7.675000e+03
8.715000e+02 7.699667e+03
8.714000e+02 7.711133e+03
8.713000e+02 7.615267e+03
8.712000e+02 7.684467e+03
8.711000e+02 7.681867e+03
8.710000e+02 7.647367e+03
8.709000e+02 7.703400e+03
8.708000e+02 7.644900e+03
8.707000e+02 7.627200e+03
8.706000e+02 7.681667e+03
8.705000e+02 7.646533e+03
8.704000e+02 7.583333e+03
8.703000e+02 7.682733e+03
8.702000e+02 7.698867e+03
8.701000e+02 7.659400e+03
8.700000e+02 7.607833e+03
8.699000e+02 7.607933e+03
8.698000e+02 7.591933e+03
8.697000e+02 7.661533e+03
8.696000e+02 7.678667e+03
8.695000e+02 7.722133e+03
8.694000e+02 7.732867e+03
8.693000e+02 7.743333e+03
8.692000e+02 7.710433e+03
8.691000e+02 7.611267e+03
8.690000e+02 7.716933e+03
8.689000e+02 7.617233e+03
8.688000e+02 7.727467e+03
8.687000e+02 7.730733e+03
8.686000e+02 7.722633e+03
8.685000e+02 7.710300e+03
8.684000e+02 7.719833e+03
8.683000e+02 7.686600e+03
8.682000e+02 7.688667e+03
8.681000e+02 7.693167e+03
8.680000e+02 7.718233e+03
8.679000e+02 7.742900e+03
8.678000e+02 7.745600e+03
8.677000e+02 7.734000e+03
8.676000e+02 7.782767e+03
8.675000e+02 7.727900e+03
8.674000e+02 7.769233e+03
8.673000e+02 7.805300e+03
8.672000e+02 7.748000e+03
8.671000e+02 7.725467e+03
8.670000e+02 7.771500e+03
8.669000e+02 7.817667e+03
8.668000e+02 7.821367e+03
8.667000e+02 7.730400e+03
8.666000e+02 7.797900e+03
8.665000e+02 7.806300e+03
8.664000e+02 7.784700e+03
8.663000e+02 7.771767e+03
8.662000e+02 7.678567e+03
8.661000e+02 7.780667e+03
8.660000e+02 7.776267e+03
8.659000e+02 7.722233e+03
8.658000e+02 7.748700e+03
8.657000e+02 7.806233e+03
8.656000e+02 7.708267e+03
8.655000e+02 7.849233e+03
8.654000e+02 7.816467e+03
8.653000e+02 7.832267e+03
8.652000e+02 7.750933e+03
8.651000e+02 7.722833e+03
8.650000e+02 7.839400e+03
8.649000e+02 7.847833e+03
8.648000e+02 7.945100e+03
8.647000e+02 7.857400e+03
8.646000e+02 7.883433e+03
8.645000e+02 7.876867e+03
8.644000e+02 7.848533e+03
8.643000e+02 7.932500e+03
8.642000e+02 7.890033e+03
8.641000e+02 7.945200e+03
8.640000e+02 7.948267e+03
8.639000e+02 7.899500e+03
8.638000e+02 7.954633e+03
8.637000e+02 7.918300e+03
8.636000e+02 7.839267e+03
8.635000e+02 7.878300e+03
8.634000e+02 7.984367e+03
8.633000e+02 7.958667e+03
8.632000e+02 7.996067e+03
8.631000e+02 7.961633e+03
8.630000e+02 7.974167e+03
8.629000e+02 7.949467e+03
8.628000e+02 7.986767e+03
8.627000e+02 8.030633e+03
8.626000e+02 8.045667e+03
8.625000e+02 7.988500e+03
8.624000e+02 7.890767e+03
8.623000e+02 7.989833e+03
8.622000e+02 8.060000e+03
8.621000e+02 8.070333e+03
8.620000e+02 7.990833e+03
8.619000e+02 8.045133e+03
8.618000e+02 8.084467e+03
8.617000e+02 8.121000e+03
8.616000e+02 8.107567e+03
8.615000e+02 8.113600e+03
8.614000e+02 8.099833e+03
8.613000e+02 8.139000e+03
8.612000e+02 8.172267e+03
8.611000e+02 8.058700e+03
8.610000e+02 8.105600e+03
8.609000e+02 8.188933e+03
8.608000e+02 8.166567e+03
8.607000e+02 8.192200e+03
8.606000e+02 8.191567e+03
8.605000e+02 8.231267e+03
8.604000e+02 8.168600e+03
8.603000e+02 8.194333e+03
8.602000e+02 8.127133e+03
8.601000e+02 8.136933e+03
8.600000e+02 8.211800e+03
8.599000e+02 8.235700e+03
8.598000e+02 8.224133e+03
8.597000e+02 8.191900e+03
8.596000e+02 8.227167e+03
8.595000e+02 8.225333e+03
8.594000e+02 8.242800e+03
8.593000e+02 8.226300e+03
8.592000e+02 8.260167e+03
8.591000e+02 8.273300e+03
8.590000e+02 8.267467e+03
8.589000e+02 8.280167e+03
8.588000e+02 8.315700e+03
8.587000e+02 8.263800e+03
8.586000e+02 8.321167e+03
8.585000e+02 8.336400e+03
8.584000e+02 8.358800e+03
8.583000e+02 8.291967e+03
8.582000e+02 8.345800e+03
8.581000e+02 8.304600e+03
8.580000e+02 8.392233e+03
8.579000e+02 8.459233e+03
8.578000e+02 8.424500e+03
8.577000e+02 8.434500e+03
8.576000e+02 8.437733e+03
8.575000e+02 8.382100e+03
8.574000e+02 8.490133e+03
8.573000e+02 8.413067e+03
8.572000e+02 8.434200e+03
8.571000e+02 8.498133e+03
8.570000e+02 8.549133e+03
8.569000e+02 8.492833e+03
8.568000e+02 8.425267e+03
8.567000e+02 8.443833e+03
8.566000e+02 8.477067e+03
8.565000e+02 8.507100e+03
8.564000e+02 8.537433e+03
8.563000e+02 8.509133e+03
8.562000e+02 8.552600e+03
8.561000e+02 8.605133e+03
8.560000e+02 8.707500e+03
8.559000e+02 8.627733e+03
8.558000e+02 8.582100e+03
8.557000e+02 8.623067e+03
8.556000e+02 8.612033e+03
8.555000e+02 8.681367e+03
8.554000e+02 8.594233e+03
8.553000e+02 8.561633e+03
8.552000e+02 8.673633e+03
8.551000e+02 8.781400e+03
8.550000e+02 8.758600e+03
8.549000e+02 8.742600e+03
8.548000e+02 8.807833e+03
8.547000e+02 8.710867e+03
8.546000e+02 8.720067e+03
8.545000e+02 8.679733e+03
8.544000e+02 8.747733e+03
8.543000e+02 8.771767e+03
8.542000e+02 8.741100e+03
8.541000e+02 8.860833e+03
8.540000e+02 8.838567e+03
8.539000e+02 8.803300e+03
8.538000e+02 8.853033e+03
8.537000e+02 8.867767e+03
8.536000e+02 8.849400e+03
8.535000e+02 8.738367e+03
8.534000e+02 8.841300e+03
8.533000e+02 8.828200e+03
8.532000e+02 8.868400e+03
8.531000e+02 8.946633e+03
8.530000e+02 8.984833e+03
8.529000e+02 8.920400e+03
8.528000e+02 8.876500e+03
8.527000e+02 8.819033e+03
8.526000e+02 8.857967e+03
8.525000e+02 9.078167e+03
8.524000e+02 9.094733e+03
8.523000e+02 9.037867e+03
8.522000e+02 9.048933e+03
8.521000e+02 8.981900e+03
8.520000e+02 8.966833e+03
8.519000e+02 8.948433e+03
8.518000e+02 9.077067e+03
8.517000e+02 9.093433e+03
8.516000e+02 9.080767e+03
8.515000e+02 9.069633e+03
8.514000e+02 9.119000e+03
8.513000e+02 9.200833e+03
8.512000e+02 9.080333e+03
8.511000e+02 9.076333e+03
8.510000e+02 9.052600e+03
8.509000e+02 9.118400e+03
8.508000e+02 9.148000e+03
8.507000e+02 9.083333e+03
8.506000e+02 9.184033e+03
8.505000e+02 9.141633e+03
8.504000e+02 9.269133e+03
8.503000e+02 9.306267e+03
8.502000e+02 9.189000e+03
8.501000e+02 9.248533e+03
8.500000e+02 9.245133e+03
8.499000e+02 9.234100e+03
8.498000e+02 9.273733e+03
8.497000e+02 9.293100e+03
8.496000e+02 9.282933e+03
8.495000e+02 9.264467e+03
8.494000e+02 9.175833e+03
8.493000e+02 9.234033e+03
8.492000e+02 9.288733e+03
8.491000e+02 9.287833e+03
8.490000e+02 9.223400e+03
8.489000e+02 9.255233e+03
8.488000e+02 9.337267e+03
8.487000e+02 9.329133e+03
8.486000e+02 9.436967e+03
8.485000e+02 9.398833e+03
8.484000e+02 9.339467e+03
8.483000e+02 9.431533e+03
8.482000e+02 9.347100e+03
8.481000e+02 9.339567e+03
8.480000e+02 9.323667e+03
8.479000e+02 9.413900e+03
8.478000e+02 9.456833e+03
8.477000e+02 9.492433e+03
