Ni2pCo2pFe2p NiO
8.900000e+02 1.804960e+04
8.899000e+02 1.801873e+04
8.898000e+02 1.791623e+04
8.897000e+02 1.790187e+04
8.896000e+02 1.785083e+04
8.895000e+02 1.782987e+04
8.894000e+02 1.777710e+04
8.893000e+02 1.782340e+04
8.892000e+02 1.796270e+04
8.891000e+02 1.792543e+04
8.890000e+02 1.793373e+04
8.889000e+02 1.769487e+04
8.888000e+02 1.784093e+04
8.887000e+02 1.777703e+04
8.886000e+02 1.780533e+04
8.885000e+02 1.788890e+04
8.884000e+02 1.771940e+04
8.883000e+02 1.773757e+04
8.882000e+02 1.765410e+04
8.881000e+02 1.770037e+04
8.880000e+02 1.781097e+04
8.879000e+02 1.778713e+04
8.878000e+02 1.769493e+04
8.877000e+02 1.766760e+04
8.876000e+02 1.777533e+04
8.875000e+02 1.781920e+04
8.874000e+02 1.781857e+04
8.873000e+02 1.773533e+04
8.872000e+02 1.768413e+04
8.871000e+02 1.769357e+04
8.870000e+02 1.773190e+04
8.869000e+02 1.772227e+04
8.868000e+02 1.792450e+04
8.867000e+02 1.785110e+04
8.866000e+02 1.784683e+04
8.865000e+02 1.775723e+04
8.864000e+02 1.786747e+04
8.863000e+02 1.784927e+04
8.862000e+02 1.774247e+04
8.861000e+02 1.772323e+04
8.860000e+02 1.783790e+04
8.859000e+02 1.796287e+04
8.858000e+02 1.777503e+04
8.857000e+02 1.776773e+04
8.856000e+02 1.780363e+04
8.855000e+02 1.790223e+04
8.854000e+02 1.816917e+04
8.853000e+02 1.817877e+04
8.852000e+02 1.810960e+04
8.851000e+02 1.823187e+04
8.850000e+02 1.828273e+04
8.849000e+02 1.826097e+04
8.848000e+02 1.846363e+04
8.847000e+02 1.843690e+04
8.846000e+02 1.848877e+04
8.845000e+02 1.865073e+04
8.844000e+02 1.864510e+04
8.843000e+02 1.869787e+04
8.842000e+02 1.896213e+04
8.841000e+02 1.889683e+04
8.840000e+02 1.905063e+04
8.839000e+02 1.918340e+04
8.838000e+02 1.934953e+04
8.837000e+02 1.933403e+04
8.836000e+02 1.956560e+04
8.835000e+02 1.974610e+04
