Pd3d PdO
3.500000e+02 2.197633e+03
3.499500e+02 2.188825e+03
3.499000e+02 2.188825e+03
3.498500e+02 2.188825e+03
3.498000e+02 2.180017e+03
3.497500e+02 2.208034e+03
3.497000e+02 2.208034e+03
3.496500e+02 2.208034e+03
3.496000e+02 2.236050e+03
3.495500e+02 2.235367e+03
3.495000e+02 2.235367e+03
3.494500e+02 2.235367e+03
3.494000e+02 2.234683e+03
3.493500e+02 2.192275e+03
3.493000e+02 2.192275e+03
3.492500e+02 2.192275e+03
3.492000e+02 2.149867e+03
3.491500e+02 2.152767e+03
3.491000e+02 2.152767e+03
3.490500e+02 2.152767e+03
3.490000e+02 2.155667e+03
3.489500e+02 2.114684e+03
3.489000e+02 2.114684e+03
3.488500e+02 2.114684e+03
3.488000e+02 2.073700e+03
3.487500e+02 2.176800e+03
3.487000e+02 2.176800e+03
3.486500e+02 2.176800e+03
3.486000e+02 2.279900e+03
3.485500e+02 2.242200e+03
3.485000e+02 2.242200e+03
3.484500e+02 2.242200e+03
3.484000e+02 2.204500e+03
3.483500e+02 2.228742e+03
3.483000e+02 2.228742e+03
3.482500e+02 2.228742e+03
3.482000e+02 2.252983e+03
3.481500e+02 2.332548e+03
3.481000e+02 2.368692e+03
3.480500e+02 2.475236e+03
3.480000e+02 2.266417e+03
3.479500e+02 2.328217e+03
3.479000e+02 2.374508e+03
3.478500e+02 2.363700e+03
3.478000e+02 2.306867e+03
3.477500e+02 2.343467e+03
3.477000e+02 2.392333e+03
3.476500e+02 2.443700e+03
3.476000e+02 2.422908e+03
3.475500e+02 2.405283e+03
3.475000e+02 2.504942e+03
3.474500e+02 2.468692e+03
3.474000e+02 2.507033e+03
3.473500e+02 2.618508e+03
3.473000e+02 2.556425e+03
3.472500e+02 2.585408e+03
3.472000e+02 2.565258e+03
3.471500e+02 2.554642e+03
3.471000e+02 2.584625e+03
3.470500e+02 2.639292e+03
3.470000e+02 2.579292e+03
3.469500e+02 2.631467e+03
3.469000e+02 2.640742e+03
3.468500e+02 2.627858e+03
3.468000e+02 2.730425e+03
3.467500e+02 2.697517e+03
3.467000e+02 2.721092e+03
3.466500e+02 2.771100e+03
3.466000e+02 2.751592e+03
3.465500e+02 2.746058e+03
3.465000e+02 2.791742e+03
3.464500e+02 2.787383e+03
3.464000e+02 2.773767e+03
3.463500e+02 2.777425e+03
3.463000e+02 2.861100e+03
3.462500e+02 2.854075e+03
3.462000e+02 2.892192e+03
3.461500e+02 2.999867e+03
3.461000e+02 2.961317e+03
3.460500e+02 2.931400e+03
3.460000e+02 3.003942e+03
3.459500e+02 2.966275e+03
3.459000e+02 3.030458e+03
3.458500e+02 3.050375e+03
3.458000e+02 3.060075e+03
3.457500e+02 3.147733e+03
3.457000e+02 3.125983e+03
3.456500e+02 3.136575e+03
3.456000e+02 3.128725e+03
3.455500e+02 3.147692e+03
3.455000e+02 3.154100e+03
3.454500e+02 3.238558e+03
3.454000e+02 3.174933e+03
3.453500e+02 3.233625e+03
3.453000e+02 3.211417e+03
3.452500e+02 3.229242e+03
3.452000e+02 3.103217e+03
3.451500e+02 3.185350e+03
3.451000e+02 3.232225e+03
3.450500e+02 3.239117e+03
3.450000e+02 3.192100e+03
3.449500e+02 3.131742e+03
3.449000e+02 3.112233e+03
3.448500e+02 3.153467e+03
3.448000e+02 3.150575e+03
3.447500e+02 3.094333e+03
3.447000e+02 3.009525e+03
3.446500e+02 3.034975e+03
3.446000e+02 2.983875e+03
3.445500e+02 2.937742e+03
3.445000e+02 2.901367e+03
3.444500e+02 3.022433e+03
3.444000e+02 2.985667e+03
3.443500e+02 2.903192e+03
3.443000e+02 2.924358e+03
3.442500e+02 2.948825e+03
3.442000e+02 2.954508e+03
3.441500e+02 2.959208e+03
3.441000e+02 2.963150e+03
3.440500e+02 2.981817e+03
3.440000e+02 2.977925e+03
3.439500e+02 3.026608e+03
3.439000e+02 3.093933e+03
3.438500e+02 3.111183e+03
3.438000e+02 3.088867e+03
3.437500e+02 3.203808e+03
3.437000e+02 3.339350e+03
3.436500e+02 3.434425e+03
3.436000e+02 3.521367e+03
3.435500e+02 3.660167e+03
3.435000e+02 3.720758e+03
3.434500e+02 3.934867e+03
3.434000e+02 4.071467e+03
3.433500e+02 4.292500e+03
3.433000e+02 4.496242e+03
3.432500e+02 4.723058e+03
