Fe2p Fe3O4
7.500000e+02 6.422620e+04
7.499500e+02 6.451310e+04
7.499000e+02 6.480000e+04
7.498500e+02 6.481490e+04
7.498000e+02 6.482980e+04
7.497500e+02 6.462930e+04
7.497000e+02 6.442880e+04
7.496500e+02 6.463390e+04
7.496000e+02 6.483900e+04
7.495500e+02 6.487940e+04
7.495000e+02 6.491980e+04
7.494500e+02 6.469170e+04
7.494000e+02 6.446360e+04
7.493500e+02 6.447430e+04
7.493000e+02 6.448500e+04
7.492500e+02 6.443640e+04
7.492000e+02 6.438780e+04
7.491500e+02 6.466600e+04
7.491000e+02 6.494420e+04
7.490500e+02 6.489290e+04
7.490000e+02 6.484160e+04
7.489500e+02 6.464070e+04
7.489000e+02 6.443980e+04
7.488500e+02 6.494690e+04
7.488000e+02 6.545400e+04
7.487500e+02 6.546490e+04
7.487000e+02 6.547580e+04
7.486500e+02 6.547980e+04
7.486000e+02 6.548380e+04
7.485500e+02 6.553800e+04
7.485000e+02 6.559220e+04
7.484500e+02 6.561700e+04
7.484000e+02 6.564180e+04
7.483500e+02 6.545910e+04
7.483000e+02 6.527640e+04
7.482500e+02 6.519290e+04
7.482000e+02 6.510940e+04
7.481500e+02 6.510380e+04
7.481000e+02 6.509820e+04
7.480500e+02 6.509320e+04
7.480000e+02 6.508820e+04
7.479500e+02 6.507010e+04
7.479000e+02 6.505200e+04
7.478500e+02 6.534430e+04
7.478000e+02 6.563660e+04
7.477500e+02 6.587590e+04
7.477000e+02 6.611520e+04
7.476500e+02 6.574500e+04
7.476000e+02 6.537480e+04
7.475500e+02 6.541640e+04
7.475000e+02 6.545800e+04
7.474500e+02 6.564240e+04
7.474000e+02 6.582680e+04
7.473500e+02 6.574780e+04
7.473000e+02 6.566880e+04
7.472500e+02 6.584180e+04
7.472000e+02 6.601480e+04
7.471500e+02 6.610570e+04
7.471000e+02 6.619660e+04
7.470500e+02 6.632820e+04
7.470000e+02 6.645980e+04
7.469500e+02 6.622690e+04
7.469000e+02 6.599400e+04
7.468500e+02 6.620490e+04
7.468000e+02 6.641580e+04
7.467500e+02 6.663500e+04
7.467000e+02 6.685420e+04
7.466500e+02 6.699770e+04
7.466000e+02 6.714120e+04
7.465500e+02 6.714200e+04
7.465000e+02 6.714280e+04
7.464500e+02 6.703390e+04
7.464000e+02 6.692500e+04
7.463500e+02 6.720840e+04
7.463000e+02 6.749180e+04
7.462500e+02 6.745050e+04
7.462000e+02 6.740920e+04
7.461500e+02 6.736840e+04
7.461000e+02 6.732760e+04
7.460500e+02 6.766320e+04
7.460000e+02 6.799880e+04
7.459500e+02 6.811440e+04
7.459000e+02 6.823000e+04
7.458500e+02 6.822920e+04
7.458000e+02 6.822840e+04
7.457500e+02 6.835770e+04
7.457000e+02 6.848700e+04
7.456500e+02 6.848360e+04
7.456000e+02 6.848020e+04
7.455500e+02 6.864780e+04
7.455000e+02 6.881540e+04
7.454500e+02 6.899610e+04
7.454000e+02 6.917680e+04
7.453500e+02 6.907960e+04
7.453000e+02 6.898240e+04
7.452500e+02 6.917800e+04
7.452000e+02 6.937360e+04
7.451500e+02 6.947610e+04
7.451000e+02 6.957860e+04
7.450500e+02 6.986320e+04
7.450000e+02 7.014780e+04
7.449500e+02 7.032850e+04
7.449000e+02 7.050920e+04
7.448500e+02 7.034270e+04
7.448000e+02 7.017620e+04
7.447500e+02 7.023000e+04
7.447000e+02 7.028380e+04
7.446500e+02 7.039010e+04
7.446000e+02 7.049640e+04
7.445500e+02 7.053570e+04
7.445000e+02 7.057500e+04
7.444500e+02 7.079450e+04
7.444000e+02 7.101400e+04
7.443500e+02 7.071330e+04
7.443000e+02 7.041260e+04
7.442500e+02 7.065390e+04
7.442000e+02 7.089520e+04
7.441500e+02 7.111870e+04
7.441000e+02 7.134220e+04
7.440500e+02 7.147090e+04
