Ni2pCo2pFe2p FeO
8.900000e+02 9.094000e+03
8.899000e+02 9.099900e+03
8.898000e+02 9.021167e+03
8.897000e+02 9.026633e+03
8.896000e+02 8.904500e+03
8.895000e+02 8.848033e+03
8.894000e+02 8.882633e+03
8.893000e+02 8.925733e+03
8.892000e+02 8.977400e+03
8.891000e+02 8.896533e+03
8.890000e+02 8.762767e+03
8.889000e+02 8.819233e+03
8.888000e+02 8.829900e+03
8.887000e+02 8.752733e+03
8.886000e+02 8.688600e+03
8.885000e+02 8.651133e+03
8.884000e+02 8.547667e+03
8.883000e+02 8.489267e+03
8.882000e+02 8.553133e+03
8.881000e+02 8.459667e+03
8.880000e+02 8.420233e+03
8.879000e+02 8.361533e+03
8.878000e+02 8.307733e+03
8.877000e+02 8.248067e+03
8.876000e+02 8.272233e+03
8.875000e+02 8.164900e+03
8.874000e+02 8.167833e+03
8.873000e+02 8.148433e+03
8.872000e+02 8.169600e+03
8.871000e+02 7.994467e+03
8.870000e+02 7.897733e+03
8.869000e+02 7.890833e+03
8.868000e+02 7.909133e+03
8.867000e+02 7.914167e+03
8.866000e+02 7.797100e+03
8.865000e+02 7.758300e+03
8.864000e+02 7.792667e+03
8.863000e+02 7.764900e+03
8.862000e+02 7.769000e+03
8.861000e+02 7.750267e+03
8.860000e+02 7.696667e+03
8.859000e+02 7.662600e+03
8.858000e+02 7.646733e+03
8.857000e+02 7.659300e+03
8.856000e+02 7.652667e+03
8.855000e+02 7.645033e+03
8.854000e+02 7.572833e+03
8.853000e+02 7.503267e+03
8.852000e+02 7.430333e+03
8.851000e+02 7.554733e+03
8.850000e+02 7.556167e+03
8.849000e+02 7.520100e+03
8.848000e+02 7.480900e+03
8.847000e+02 7.475000e+03
8.846000e+02 7.440100e+03
8.845000e+02 7.425167e+03
8.844000e+02 7.500800e+03
8.843000e+02 7.529900e+03
8.842000e+02 7.485033e+03
8.841000e+02 7.454567e+03
8.840000e+02 7.441667e+03
8.839000e+02 7.395467e+03
8.838000e+02 7.457933e+03
8.837000e+02 7.456267e+03
8.836000e+02 7.429467e+03
8.835000e+02 7.390900e+03
8.834000e+02 7.418300e+03
8.833000e+02 7.402100e+03
8.832000e+02 7.468067e+03
8.831000e+02 7.396833e+03
8.830000e+02 7.397133e+03
8.829000e+02 7.364467e+03
8.828000e+02 7.375500e+03
8.827000e+02 7.391167e+03
8.826000e+02 7.360600e+03
8.825000e+02 7.412400e+03
8.824000e+02 7.398033e+03
8.823000e+02 7.445667e+03
8.822000e+02 7.375567e+03
8.821000e+02 7.352500e+03
8.820000e+02 7.333900e+03
8.819000e+02 7.347633e+03
8.818000e+02 7.333733e+03
8.817000e+02 7.292133e+03
8.816000e+02 7.371167e+03
8.815000e+02 7.384400e+03
8.814000e+02 7.351733e+03
8.813000e+02 7.363633e+03
8.812000e+02 7.359067e+03
8.811000e+02 7.406300e+03
8.810000e+02 7.371467e+03
8.809000e+02 7.315900e+03
8.808000e+02 7.424467e+03
8.807000e+02 7.355600e+03
8.806000e+02 7.343133e+03
8.805000e+02 7.393833e+03
8.804000e+02 7.351200e+03
8.803000e+02 7.399133e+03
8.802000e+02 7.367200e+03
8.801000e+02 7.455500e+03
8.800000e+02 7.378567e+03
8.799000e+02 7.345933e+03
8.798000e+02 7.354400e+03
8.797000e+02 7.343100e+03
8.796000e+02 7.381800e+03
8.795000e+02 7.377000e+03
8.794000e+02 7.404800e+03
8.793000e+02 7.376500e+03
8.792000e+02 7.315467e+03
8.791000e+02 7.336333e+03
8.790000e+02 7.340833e+03
8.789000e+02 7.354467e+03
8.788000e+02 7.373967e+03
8.787000e+02 7.310033e+03
8.786000e+02 7.394367e+03
8.785000e+02 7.363300e+03
8.784000e+02 7.325967e+03
8.783000e+02 7.309400e+03
8.782000e+02 7.254367e+03
8.781000e+02 7.353367e+03
8.780000e+02 7.354833e+03
8.779000e+02 7.307067e+03
8.778000e+02 7.323467e+03
8.777000e+02 7.376133e+03
8.776000e+02 7.368133e+03
8.775000e+02 7.295433e+03
8.774000e+02 7.269033e+03
8.773000e+02 7.210767e+03
8.772000e+02 7.254967e+03
8.771000e+02 7.304100e+03
8.770000e+02 7.310633e+03
8.769000e+02 7.368233e+03
8.768000e+02 7.402000e+03
8.767000e+02 7.360667e+03
8.766000e+02 7.303333e+03
8.765000e+02 7.342633e+03
8.764000e+02 7.338800e+03
8.763000e+02 7.295600e+03
8.762000e+02 7.244533e+03
8.761000e+02 7.356867e+03
8.760000e+02 7.255833e+03
8.759000e+02 7.303067e+03
8.758000e+02 7.256833e+03
8.757000e+02 7.272000e+03
8.756000e+02 7.284933e+03
8.755000e+02 7.236667e+03
8.754000e+02 7.169233e+03
8.753000e+02 7.184933e+03
8.752000e+02 7.246667e+03
8.751000e+02 7.254233e+03
8.750000e+02 7.228067e+03
8.749000e+02 7.221233e+03
8.748000e+02 7.173167e+03
8.747000e+02 7.189367e+03
8.746000e+02 7.200733e+03
8.745000e+02 7.183867e+03
8.744000e+02 7.177133e+03
8.743000e+02 7.214033e+03
8.742000e+02 7.224533e+03
8.741000e+02 7.222633e+03
8.740000e+02 7.178833e+03
8.739000e+02 7.177767e+03
8.738000e+02 7.229000e+03
8.737000e+02 7.192800e+03
8.736000e+02 7.194800e+03
8.735000e+02 7.241033e+03
8.734000e+02 7.173900e+03
8.733000e+02 7.111433e+03
8.732000e+02 7.092433e+03
8.731000e+02 7.167833e+03
8.730000e+02 7.233033e+03
